id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
2932,About the autograd category,About the autograd category,about-the-autograd-category,1,0,1,,2017-05-13T03:16:13.262Z,,True,2017-05-13T03:16:13.262Z,regular,False,True,,A category of posts relating to the autograd engine itself.,True,False,False,,,1242,0,False,smth,7,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 1, 'primary_group_id': None}]"
97504,Link between require_grad and moving tensors between CPU and GPU memory,Link between require_grad and moving tensors between CPU and GPU memory,link-between-require-grad-and-moving-tensors-between-cpu-and-gpu-memory,7,3,7,,2020-09-25T15:43:01.269Z,2020-09-27T10:05:37.027Z,True,2020-09-27T10:05:37.027Z,regular,False,False,,,True,False,False,,,46,1,False,marcelwa,7,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 37103, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97575,How to prevent for part of the loss the create gradient,How to prevent for part of the loss the create gradient,how-to-prevent-for-part-of-the-loss-the-create-gradient,2,0,2,,2020-09-26T21:44:09.890Z,2020-09-27T02:05:13.161Z,True,2020-09-27T02:05:13.161Z,regular,False,False,,,True,False,False,,,19,0,False,ptrblck,7,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 21584, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97567,High order derivatives in loss terms,High order derivatives in loss terms,high-order-derivatives-in-loss-terms,7,4,7,,2020-09-26T13:01:51.267Z,2020-09-27T01:49:44.031Z,True,2020-09-27T01:49:44.031Z,regular,False,False,,,True,False,False,,,38,6,False,tom,7,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 9404, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12783, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 616, 'primary_group_id': None}]"
69270,Gradient Exist but Weights not updated,Gradient Exist but Weights not updated,gradient-exist-but-weights-not-updated,7,3,7,,2020-02-10T19:51:17.909Z,2020-09-25T21:49:59.460Z,True,2020-09-25T21:49:59.460Z,regular,False,False,,,True,False,False,,,328,1,False,RealNewNoob,7,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 27456, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 211, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 37058, 'primary_group_id': None}]"
97484,Memory leak if use torch.no_grad()?,Memory leak if use torch.no_grad()?,memory-leak-if-use-torch-no-grad,4,2,4,,2020-09-25T11:47:36.750Z,2020-09-25T15:59:39.807Z,True,2020-09-25T15:59:39.807Z,regular,False,False,,,True,False,False,,,39,1,False,chienpingtsung,7,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 37095, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 211, 'primary_group_id': None}]"
97498,How to freeze a subset of weights of a layer?,How to freeze a subset of weights of a layer?,how-to-freeze-a-subset-of-weights-of-a-layer,2,0,2,,2020-09-25T13:54:26.890Z,2020-09-25T14:04:27.778Z,True,2020-09-25T14:04:27.778Z,regular,False,False,,,True,False,False,,,22,0,False,albanD,7,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 23553, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 211, 'primary_group_id': None}]"
11074,RuntimeError: element 0 of variables does not require grad and does not have a grad_fn,RuntimeError: element 0 of variables does not require grad and does not have a grad_fn,runtimeerror-element-0-of-variables-does-not-require-grad-and-does-not-have-a-grad-fn,41,37,46,,2017-12-12T18:18:32.087Z,2020-08-06T20:25:28.686Z,True,2020-09-25T06:22:18.336Z,regular,False,False,,,True,False,False,,,57364,35,False,pinocchio,7,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 1866, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 19813, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 28782, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 23842, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 2283, 'primary_group_id': None}]"
97220,How to use amp with a normal optimizer and a sparse optimizer,How to use amp with a normal optimizer and a sparse optimizer,how-to-use-amp-with-a-normal-optimizer-and-a-sparse-optimizer,4,2,4,,2020-09-23T07:02:01.199Z,2020-09-25T02:10:35.047Z,True,2020-09-25T02:10:35.047Z,regular,False,False,,,True,False,False,,,31,0,False,ptrblck,7,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 20799, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97376,"Costumized batchnorm, backward function problem","Costumized batchnorm, backward function problem",costumized-batchnorm-backward-function-problem,10,7,10,,2020-09-24T13:49:32.178Z,2020-09-24T17:37:59.828Z,True,2020-09-24T17:37:59.828Z,regular,False,False,,,True,False,False,,,31,0,False,SandPhoenix,7,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 29396, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 211, 'primary_group_id': None}]"
97226,Is there a dataset functionality similar to PyTorch Geometrics preprocess skipping?,Is there a dataset functionality similar to PyTorch Geometrics preprocess skipping?,is-there-a-dataset-functionality-similar-to-pytorch-geometrics-preprocess-skipping,3,1,3,,2020-09-23T08:14:38.072Z,2020-09-24T11:22:24.027Z,True,2020-09-24T11:22:24.027Z,regular,False,False,,,True,False,False,,,37,2,False,Sascha,7,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 22972, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 28504, 'primary_group_id': None}]"
