id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
68657,About the Captum category,About the Captum category,about-the-captum-category,1,0,1,,2020-02-04T17:02:37.072Z,,True,2020-02-04T17:02:37.072Z,regular,False,True,,,True,False,False,,,101,0,False,albanD,21,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 211, 'primary_group_id': None}]"
96963,Conceptually Linked Interpretability,Conceptually Linked Interpretability,conceptually-linked-interpretability,1,0,1,https://discuss.pytorch.org/uploads/default/original/3X/9/7/97d5beaf0bd918e1313216d646e44d17010083ba.gif,2020-09-21T05:39:31.154Z,2020-09-21T05:39:31.305Z,True,2020-09-21T05:39:31.305Z,regular,False,False,,,True,False,False,,,20,0,False,cubytes,21,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36901, 'primary_group_id': None}]"
89496,GradCam - Zero output,GradCam - Zero output,gradcam-zero-output,3,1,3,https://discuss.pytorch.org/uploads/default/optimized/3X/8/5/859d2a6fce1630cbd2684a5778ab94369b244b83_2_1024x498.png,2020-07-16T19:43:34.921Z,2020-08-04T09:15:43.272Z,True,2020-08-04T09:15:43.272Z,regular,False,False,,,True,False,False,,,100,0,False,Francesco_Grimaldi,21,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 34411, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 31260, 'primary_group_id': None}]"
91267,Captum to explain Albert-based mutli-class classification,Captum to explain Albert-based mutli-class classification,captum-to-explain-albert-based-mutli-class-classification,2,0,2,,2020-07-31T19:53:07.078Z,2020-08-03T21:24:32.899Z,True,2020-08-03T21:24:32.899Z,regular,False,False,,,True,False,False,,,51,0,False,Narine,21,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 35021, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 27233, 'primary_group_id': None}]"
86564,Global explanations in captum?,Global explanations in captum?,global-explanations-in-captum,2,0,2,,2020-06-23T13:56:15.485Z,2020-07-07T03:30:10.201Z,True,2020-07-07T03:30:10.201Z,regular,False,False,,,True,False,False,,,96,0,False,Narine,21,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 33435, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 27233, 'primary_group_id': None}]"
79156,Captum tutorials for parameters attribution,Captum tutorials for parameters attribution,captum-tutorials-for-parameters-attribution,5,2,5,,2020-04-30T18:11:42.497Z,2020-05-19T11:53:21.113Z,True,2020-05-19T11:53:21.113Z,regular,False,False,,,True,False,False,,,134,2,False,TinfoilHat0,21,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 23573, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 27233, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 31260, 'primary_group_id': None}]"
79787,Captum can not work in Conv1d network?,Captum can not work in Conv1d network?,captum-can-not-work-in-conv1d-network,2,0,2,,2020-05-05T06:49:05.759Z,2020-05-18T15:19:10.280Z,True,2020-05-18T15:19:10.280Z,regular,False,False,,,True,False,False,,,108,0,False,vivekm,21,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 31070, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 31260, 'primary_group_id': None}]"
74494,NoiseTunnel: CUDA out of memory when trying out,NoiseTunnel: CUDA out of memory when trying out,noisetunnel-cuda-out-of-memory-when-trying-out,7,4,7,https://discuss.pytorch.org/uploads/default/optimized/3X/2/a/2af1c8aede0de607333b2f5a3c87ab496af4de8e_2_1024x185.png,2020-03-27T04:49:49.058Z,2020-04-04T13:19:56.163Z,True,2020-04-04T13:19:56.163Z,regular,False,False,,,True,False,False,,,221,4,False,nareshr8,21,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 21832, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 27233, 'primary_group_id': None}]"
70584,Manually calculating integrated gradient,Manually calculating integrated gradient,manually-calculating-integrated-gradient,6,4,6,https://discuss.pytorch.org/uploads/default/original/3X/e/1/e102a68ff9da9ebeaf0d8be48aba37bb39c4c9f1.png,2020-02-21T10:29:13.107Z,2020-02-22T14:15:51.740Z,True,2020-02-22T14:15:51.740Z,regular,False,False,,,True,False,False,,,457,4,False,tom,21,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 17640, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 616, 'primary_group_id': None}]"
70399,Integrated Gradients with Captum in a sequential model,Integrated Gradients with Captum in a sequential model,integrated-gradients-with-captum-in-a-sequential-model,8,5,8,,2020-02-20T01:49:47.058Z,2020-02-20T02:23:02.538Z,True,2020-02-20T02:23:02.538Z,regular,False,False,,,True,False,False,,,270,1,False,Narine_Kokhlikyan,21,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 27884, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 23833, 'primary_group_id': None}]"
