id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
70893,About the complex category,About the complex category,about-the-complex-category,1,0,1,,2020-02-24T16:41:23.896Z,,True,2020-02-24T16:41:23.896Z,regular,False,True,,,True,False,False,,,81,0,False,albanD,22,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 211, 'primary_group_id': None}]"
97420,"How to reshape [1, 1, 3, 50] to [1, 1, 3, 75]?","How to reshape [1, 1, 3, 50] to [1, 1, 3, 75]?",how-to-reshape-1-1-3-50-to-1-1-3-75,3,1,3,,2020-09-24T21:57:13.301Z,2020-09-26T23:08:16.117Z,True,2020-09-26T23:08:16.117Z,regular,False,False,,,True,False,False,,,46,0,False,ahmadkhan242,22,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 37071, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
75053,Dataparallel model with custom functions,Dataparallel model with custom functions,dataparallel-model-with-custom-functions,10,7,10,,2020-04-01T22:31:05.324Z,2020-09-11T06:14:40.563Z,True,2020-09-11T06:27:40.245Z,regular,False,False,,,True,False,False,,,608,2,False,nik1996,22,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 29406, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 9081, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 30848, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 6447, 'primary_group_id': None}]"
95192,nn.Linear as forward function complex neural network,nn.Linear as forward function complex neural network,nn-linear-as-forward-function-complex-neural-network,3,1,3,,2020-09-04T13:34:22.787Z,2020-09-07T08:51:42.670Z,True,2020-09-07T08:51:42.670Z,regular,False,False,,,True,False,False,,,53,0,False,Schalky,22,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 34815, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}]"
95196,"1j * cos( theta), error?","1j * cos( theta), error?",1j-cos-theta-error,3,1,3,,2020-09-04T13:51:31.529Z,2020-09-07T08:43:52.882Z,True,2020-09-07T08:43:52.882Z,regular,False,False,,,True,False,False,,,48,0,False,Schalky,22,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 34815, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}]"
95233,How to convert numpy.ndarray with data type np.complex128 to a torch tensor?,How to convert numpy.ndarray with data type np.complex128 to a torch tensor?,how-to-convert-numpy-ndarray-with-data-type-np-complex128-to-a-torch-tensor,2,0,2,,2020-09-04T23:29:31.719Z,2020-09-05T10:26:16.408Z,True,2020-09-05T10:26:16.408Z,regular,False,False,,,True,False,False,,,38,0,False,Henry_Chibueze,22,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36338, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 33986, 'primary_group_id': None}]"
94808,Alfred workflow to quickly jump to PyTorch API docs,Alfred workflow to quickly jump to PyTorch API docs,alfred-workflow-to-quickly-jump-to-pytorch-api-docs,1,0,1,https://discuss.pytorch.org/uploads/default/optimized/3X/b/8/b8088e1af8c3345385e77d5b24e889898b01bc97_2_1024x950.jpeg,2020-09-01T10:37:11.078Z,2020-09-01T10:37:11.146Z,True,2020-09-01T10:37:11.146Z,regular,False,False,,,True,False,False,,,36,0,False,lsgrep,22,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36196, 'primary_group_id': None}]"
91865,Complex matrix multiplication,Complex matrix multiplication,complex-matrix-multiplication,2,0,2,,2020-08-06T16:02:45.328Z,2020-08-07T19:23:39.681Z,True,2020-08-07T19:23:39.681Z,regular,False,False,,,True,False,False,,,209,2,False,weidler,22,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 3043, 'primary_group_id': None}]"
80746,Making Infinity Addition Idempotent,Making Infinity Addition Idempotent,making-infinity-addition-idempotent,3,1,3,,2020-05-11T19:42:28.154Z,2020-05-12T06:40:53.598Z,True,2020-05-12T06:40:53.598Z,regular,False,False,,,True,False,False,,,90,0,False,circa,22,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 29523, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 18088, 'primary_group_id': None}]"
79407,PyTorch RNN LSTM,PyTorch RNN LSTM,pytorch-rnn-lstm,1,0,1,,2020-05-02T13:31:55.812Z,2020-05-02T13:31:55.873Z,True,2020-05-02T13:31:55.873Z,regular,False,False,,,True,False,False,,,81,0,False,QuirkyDataScientist1,22,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 30370, 'primary_group_id': None}]"
