id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
33465,About the distributed category,About the distributed category,about-the-distributed-category,1,0,1,,2018-12-31T07:01:04.087Z,,True,2018-12-31T07:01:04.087Z,regular,False,True,,,True,False,False,,,448,0,False,smth,12,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 1, 'primary_group_id': None}]"
92589,Using IterableDataset with DistributedDataParallel,Using IterableDataset with DistributedDataParallel,using-iterabledataset-with-distributeddataparallel,7,3,7,,2020-08-12T16:37:12.689Z,2020-09-27T00:48:38.943Z,True,2020-09-27T00:48:38.943Z,regular,False,False,,,True,False,False,,,140,0,False,SimonW,12,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 31130, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 36223, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 27900, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 18862, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3480, 'primary_group_id': None}]"
47152,Training performance degrades with DistributedDataParallel,Training performance degrades with DistributedDataParallel,training-performance-degrades-with-distributeddataparallel,27,13,28,,2019-06-05T17:11:55.780Z,2020-09-26T04:03:51.085Z,True,2020-09-26T04:03:51.085Z,regular,False,False,,,True,False,False,,,4241,16,False,TT_YY,12,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 2851, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12207, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 19273, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 15879, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 33164, 'primary_group_id': None}]"
97040,How can I use torch.nn.DataParallel while I'm doing transfer learning?,How can I use torch.nn.DataParallel while I&rsquo;m doing transfer learning?,how-can-i-use-torch-nn-dataparallel-while-im-doing-transfer-learning,7,2,7,,2020-09-21T18:38:24.234Z,2020-09-25T19:07:56.364Z,True,2020-09-25T19:07:56.364Z,regular,False,False,,,True,False,False,,,68,0,False,pouya.ahmadvand,12,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36941, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 18862, 'primary_group_id': None}]"
97378,The acc in multi gpus is lower than one gpus,The acc in multi gpus is lower than one gpus,the-acc-in-multi-gpus-is-lower-than-one-gpus,1,0,1,,2020-09-24T14:36:48.291Z,2020-09-24T14:36:48.353Z,True,2020-09-24T15:54:21.724Z,regular,False,False,,,True,False,False,,,18,0,False,sangyx,12,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 20799, 'primary_group_id': None}]"
97332,PyTorch RPC multiple threading training,PyTorch RPC multiple threading training,pytorch-rpc-multiple-threading-training,1,0,1,,2020-09-24T06:06:38.086Z,2020-09-24T06:06:38.204Z,True,2020-09-24T06:06:38.204Z,regular,False,False,,,True,False,False,,,21,0,False,LW-Ricarido,20,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12484, 'primary_group_id': None}]"
97124,Why does each GPU occupy different memory using DDP?,Why does each GPU occupy different memory using DDP?,why-does-each-gpu-occupy-different-memory-using-ddp,4,2,4,https://discuss.pytorch.org/uploads/default/original/3X/c/1/c12788a40dabf26eacdf5cf8e75614f5a598aefa.png,2020-09-22T11:49:27.046Z,2020-09-24T00:22:11.799Z,True,2020-09-24T00:22:11.799Z,regular,False,False,,,True,False,False,,,54,1,False,ptrblck,20,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36968, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97194,Do DataParallel and DistributedDataParallel affect the batch size and GPU memory consumption?,Do DataParallel and DistributedDataParallel affect the batch size and GPU memory consumption?,do-dataparallel-and-distributeddataparallel-affect-the-batch-size-and-gpu-memory-consumption,1,0,1,,2020-09-23T03:23:55.922Z,2020-09-23T03:23:55.990Z,True,2020-09-23T12:09:10.697Z,regular,False,False,,,True,False,False,,,28,0,False,mdc,12,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36996, 'primary_group_id': None}]"
96724,Sharing model between processes automatically allocates new memory,Sharing model between processes automatically allocates new memory,sharing-model-between-processes-automatically-allocates-new-memory,2,0,2,,2020-09-18T11:23:50.703Z,2020-09-23T03:45:50.535Z,True,2020-09-23T03:45:50.535Z,regular,False,False,,,True,False,False,,,42,0,False,pritamdamania87,12,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36833, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 18862, 'primary_group_id': None}]"
96829,Process stuck when training on multiple nodes using DistributedDataParallel,Process stuck when training on multiple nodes using DistributedDataParallel,process-stuck-when-training-on-multiple-nodes-using-distributeddataparallel,2,0,2,,2020-09-19T11:04:33.672Z,2020-09-23T03:27:45.460Z,True,2020-09-23T03:27:45.460Z,regular,False,False,,,True,False,False,,,36,0,False,pritamdamania87,12,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 28433, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 18862, 'primary_group_id': None}]"
96630,How to implement distributed model parallel using torch.distributed,How to implement distributed model parallel using torch.distributed,how-to-implement-distributed-model-parallel-using-torch-distributed,4,2,4,,2020-09-17T14:29:28.843Z,2020-09-23T02:59:50.528Z,True,2020-09-23T02:59:50.528Z,regular,False,False,,,True,False,False,,,59,0,False,pritamdamania87,12,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 24132, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 17068, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 18862, 'primary_group_id': None}]"
97027,SyncBatchNorm across multiple batches of the SAME gpu - is it possible?,SyncBatchNorm across multiple batches of the SAME gpu - is it possible?,syncbatchnorm-across-multiple-batches-of-the-same-gpu-is-it-possible,2,0,2,,2020-09-21T17:20:07.575Z,2020-09-23T02:43:07.687Z,True,2020-09-23T02:43:07.687Z,regular,False,False,,,True,False,False,,,29,0,False,pritamdamania87,12,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 9857, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 18862, 'primary_group_id': None}]"
96965,"Can we split a large, pytorch-built-in `nn.Module` to multiple-gpu?","Can we split a large, pytorch-built-in `nn.Module` to multiple-gpu?",can-we-split-a-large-pytorch-built-in-nn-module-to-multiple-gpu,2,0,2,,2020-09-21T05:50:04.435Z,2020-09-21T18:14:51.868Z,True,2020-09-21T18:14:51.868Z,regular,False,False,,,True,False,False,,,41,1,False,albanD,12,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 34438, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 211, 'primary_group_id': None}]"
96050,Lazy generation of large random matrix,Lazy generation of large random matrix,lazy-generation-of-large-random-matrix,3,0,3,,2020-09-12T17:46:00.940Z,2020-09-20T12:17:57.267Z,True,2020-09-20T13:01:30.669Z,regular,False,False,,,True,False,False,,,54,0,False,Luca_Mingarelli,12,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36610, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 17068, 'primary_group_id': None}]"
96338,How to use `torch.nn.parallel.DistributedDataParallel` and `torch.utils.checkpoint` together,How to use `torch.nn.parallel.DistributedDataParallel` and `torch.utils.checkpoint` together,how-to-use-torch-nn-parallel-distributeddataparallel-and-torch-utils-checkpoint-together,7,5,7,https://discuss.pytorch.org/uploads/default/optimized/3X/9/f/9f3a15a8ad35a17798ca4b6bbe3dfcfe69488f44_2_1024x196.png,2020-09-15T09:30:54.863Z,2020-09-18T15:01:59.654Z,True,2020-09-18T15:01:59.654Z,regular,False,False,,,True,False,False,,,75,3,False,mrshenli,12,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36704, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 17068, 'primary_group_id': None}]"
95642,"When I use 1024 nodes in rpc, I meet RuntimeError ""listen: Address already in use""","When I use 1024 nodes in rpc, I meet RuntimeError &ldquo;listen: Address already in use&rdquo;",when-i-use-1024-nodes-in-rpc-i-meet-runtimeerror-listen-address-already-in-use,10,6,10,,2020-09-09T09:49:55.031Z,2020-09-18T11:10:23.305Z,True,2020-09-18T11:10:23.305Z,regular,False,False,,,True,False,False,,,133,1,False,lcw,20,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36471, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 17068, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 18862, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 28078, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 33843, 'primary_group_id': None}]"
