id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
17547,About the glow category,About the glow category,about-the-glow-category,3,1,3,,2018-05-05T00:22:39.490Z,2018-12-26T13:29:13.039Z,True,2018-12-26T13:29:13.039Z,regular,False,True,,This category is for the Glow neural network accelerator compiler: https://github.com/pytorch/glow,True,False,False,,,744,0,False,Beatrice_Paige,10,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 1, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14243, 'primary_group_id': None}]"
75974,Is Conv1D fully supported now?,Is Conv1D fully supported now?,is-conv1d-fully-supported-now,3,1,3,,2020-04-09T05:53:22.744Z,2020-09-24T05:40:21.955Z,True,2020-09-24T05:40:21.955Z,regular,False,False,,,True,False,False,,,115,0,False,antimora,10,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 24552, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8411, 'primary_group_id': None}]"
75973,Optimization guide using model-compiler,Optimization guide using model-compiler,optimization-guide-using-model-compiler,4,1,4,https://discuss.pytorch.org/uploads/default/optimized/3X/9/4/9436eeec97a955b1062436d35f0fb8a1cd20a75a_2_654x1024.png,2020-04-09T05:49:29.229Z,2020-09-24T05:35:09.329Z,True,2020-09-24T05:35:09.329Z,regular,False,False,,,True,False,False,,,147,0,False,antimora,10,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 24552, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8411, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 36493, 'primary_group_id': None}]"
93081,Build for wsl2 ubuntu 20.04,Build for wsl2 ubuntu 20.04,build-for-wsl2-ubuntu-20-04,3,1,3,,2020-08-17T12:14:28.251Z,2020-09-24T04:17:04.876Z,True,2020-09-24T04:17:04.876Z,regular,False,False,,,True,False,False,,,71,0,False,muhdmud,10,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 35619, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8411, 'primary_group_id': None}]"
95745,Torch_glow tests fail unless run separately,Torch_glow tests fail unless run separately,torch-glow-tests-fail-unless-run-separately,2,0,2,,2020-09-10T06:38:02.226Z,2020-09-17T23:59:39.955Z,True,2020-09-17T23:59:39.955Z,regular,False,False,,,True,False,False,,,35,0,False,jfix,10,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36493, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8411, 'primary_group_id': None}]"
81422,Model bundle performance / multi-core inference,Model bundle performance / multi-core inference,model-bundle-performance-multi-core-inference,6,4,6,,2020-05-15T18:18:20.024Z,2020-09-17T22:47:34.487Z,True,2020-09-17T22:47:34.487Z,regular,False,False,,,True,False,False,,,188,2,False,jfix,10,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 31361, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 36493, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8411, 'primary_group_id': None}]"
96388,How to use Glow,How to use Glow,how-to-use-glow,4,2,4,,2020-09-15T18:04:57.541Z,2020-09-17T22:44:23.886Z,True,2020-09-17T22:44:23.886Z,regular,False,False,,,True,False,False,,,57,0,False,jfix,10,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36493, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8411, 'primary_group_id': None}]"
95412,Ninjia test error,Ninjia test error,ninjia-test-error,4,2,4,,2020-09-07T09:21:30.164Z,2020-09-14T19:37:07.601Z,True,2020-09-14T19:37:07.601Z,regular,False,False,,,True,False,False,,,54,0,False,jfix,10,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36276, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8411, 'primary_group_id': None}]"
92686,Getting an error while built a bundle for ONNX model,Getting an error while built a bundle for ONNX model,getting-an-error-while-built-a-bundle-for-onnx-model,2,1,2,,2020-08-13T12:49:51.595Z,2020-09-14T06:51:13.709Z,True,2020-09-14T06:51:13.709Z,regular,False,False,,,True,False,False,,,64,0,False,jfix,10,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 35505, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8411, 'primary_group_id': None}]"
75868,Compiling Python Code,Compiling Python Code,compiling-python-code,4,1,4,,2020-04-08T13:52:37.317Z,2020-09-14T06:46:01.286Z,True,2020-09-14T06:46:01.286Z,regular,False,False,,,True,False,False,,,145,0,False,jfix,10,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 29697, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 36493, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8411, 'primary_group_id': None}]"
40560,How to perform quantization of a model in PyTorch?,How to perform quantization of a model in PyTorch?,how-to-perform-quantization-of-a-model-in-pytorch,12,7,12,,2019-03-21T22:08:40.928Z,2020-07-23T02:29:55.144Z,True,2020-07-23T02:29:55.144Z,regular,False,False,,,True,False,False,,,5691,1,False,blueskywwc,10,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 16927, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11131, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 20623, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8411, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 31330, 'primary_group_id': None}]"
