id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
45318,About the ignite category,About the ignite category,about-the-ignite-category,1,0,1,,2019-05-15T13:13:40.472Z,,True,2019-05-15T13:13:40.472Z,regular,False,True,,,True,False,False,,,198,0,False,smth,15,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 1, 'primary_group_id': None}]"
96695,Evaluate multiple models with one evaluator results weird metrics,Evaluate multiple models with one evaluator results weird metrics,evaluate-multiple-models-with-one-evaluator-results-weird-metrics,3,1,3,,2020-09-18T05:50:24.645Z,2020-09-18T07:29:42.872Z,True,2020-09-18T07:29:42.872Z,regular,False,False,,,True,False,False,,,28,0,False,FruitVinegar,15,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 19983, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 4031, 'primary_group_id': None}]"
91221,How access inputs in custom Ignite Metric?,How access inputs in custom Ignite Metric?,how-access-inputs-in-custom-ignite-metric,7,5,7,,2020-07-31T13:02:11.283Z,2020-09-16T14:05:43.509Z,True,2020-09-16T14:05:43.509Z,regular,False,False,,,True,False,False,,,78,2,False,vfdev-5,15,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 29176, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 4031, 'primary_group_id': None}]"
94541,Problems with Dice Loss in Pytorch Ignite,Problems with Dice Loss in Pytorch Ignite,problems-with-dice-loss-in-pytorch-ignite,3,0,3,,2020-08-30T02:10:32.680Z,2020-08-30T10:32:54.583Z,True,2020-08-30T10:32:54.583Z,regular,False,False,,,True,False,False,,,61,0,False,vfdev-5,15,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 19861, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 4031, 'primary_group_id': None}]"
93090,How to pass additional parameters to forward function during training and validation?,How to pass additional parameters to forward function during training and validation?,how-to-pass-additional-parameters-to-forward-function-during-training-and-validation,2,0,2,,2020-08-17T14:01:35.269Z,2020-08-17T14:59:58.608Z,True,2020-08-17T14:59:58.608Z,regular,False,False,,,True,False,False,,,48,0,False,vfdev-5,15,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 29176, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 4031, 'primary_group_id': None}]"
92253,How to set the same random seed for all workers?,How to set the same random seed for all workers?,how-to-set-the-same-random-seed-for-all-workers,14,12,14,,2020-08-10T08:56:15.098Z,2020-08-10T16:56:16.831Z,True,2020-08-10T16:56:16.831Z,regular,False,False,,,True,False,False,,,104,1,False,vfdev-5,15,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 29176, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 4031, 'primary_group_id': None}]"
90919,Distributed error this morning,Distributed error this morning,distributed-error-this-morning,2,0,2,,2020-07-29T05:11:35.776Z,2020-07-29T07:15:31.164Z,True,2020-07-29T07:15:31.164Z,regular,False,False,,,True,False,False,,,56,0,False,vfdev-5,15,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 19322, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 4031, 'primary_group_id': None}]"
90810,"Computing every iteration, every 20 epochs","Computing every iteration, every 20 epochs",computing-every-iteration-every-20-epochs,6,3,6,,2020-07-28T10:47:57.346Z,2020-07-28T15:51:30.076Z,True,2020-07-28T15:51:30.076Z,regular,False,False,,,True,False,False,,,68,0,False,vfdev-5,15,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 19322, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 34590, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 4031, 'primary_group_id': None}]"
90306,Toutorial for ignite,Toutorial for ignite,toutorial-for-ignite,3,0,3,,2020-07-23T16:21:19.636Z,2020-07-23T23:30:14.629Z,True,2020-07-23T23:30:14.629Z,regular,False,False,,,True,False,False,,,61,1,False,Aman_Gupta,15,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 34694, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 4031, 'primary_group_id': None}]"
90002,Add_event_handler arguments not passing correctly?,Add_event_handler arguments not passing correctly?,add-event-handler-arguments-not-passing-correctly,11,7,11,,2020-07-21T08:36:16.197Z,2020-07-21T09:44:52.224Z,True,2020-07-21T09:44:52.224Z,regular,False,False,,,True,False,False,,,70,1,False,vfdev-5,15,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 19322, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 4031, 'primary_group_id': None}]"
