id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
34819,About the jit category,About the jit category,about-the-jit-category,1,0,1,,2019-01-16T15:11:20.868Z,,True,2019-12-04T20:28:41.477Z,regular,False,True,,A category for TorchScript and the PyTorch JIT compiler,True,False,False,,,385,0,False,smth,13,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 1, 'primary_group_id': None}]"
97578,Question regarding PyTorch's Backwards Compatibility guarantee between releases,Question regarding PyTorch&rsquo;s Backwards Compatibility guarantee between releases,question-regarding-pytorchs-backwards-compatibility-guarantee-between-releases,1,0,1,,2020-09-27T00:53:36.489Z,2020-09-27T00:53:36.551Z,True,2020-09-27T00:53:36.551Z,regular,False,False,,,True,False,False,,,19,0,False,vdantu,13,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 21801, 'primary_group_id': None}]"
83244,Torch.jit.trace is not working with mask rcnn,Torch.jit.trace is not working with mask rcnn,torch-jit-trace-is-not-working-with-mask-rcnn,9,6,9,,2020-05-28T14:18:18.793Z,2020-09-25T15:28:32.010Z,True,2020-09-25T15:28:32.010Z,regular,False,False,,,True,False,False,,,259,1,False,lysuhin,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 30202, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14362, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 757, 'primary_group_id': None}]"
97239,Torch.jit.script in nightly version,Torch.jit.script in nightly version,torch-jit-script-in-nightly-version,7,4,7,,2020-09-23T10:08:51.672Z,2020-09-25T05:08:28.115Z,True,2020-09-25T05:08:28.115Z,regular,False,False,,,True,False,False,,,55,3,False,ydcjeff,13,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 23768, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 34116, 'primary_group_id': None}]"
93112,How does the JIT get the function types?,How does the JIT get the function types?,how-does-the-jit-get-the-function-types,14,11,14,,2020-08-17T16:25:01.452Z,2020-09-25T04:58:11.480Z,True,2020-09-25T04:58:11.480Z,regular,False,False,,,True,False,False,,,112,3,False,SplitInfinity,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 6092, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 34116, 'primary_group_id': None}]"
96856,Create a constant inside a graph,Create a constant inside a graph,create-a-constant-inside-a-graph,7,4,7,,2020-09-19T16:41:43.444Z,2020-09-23T18:26:55.686Z,True,2020-09-23T18:26:55.686Z,regular,False,False,,,True,False,False,,,63,0,False,Omer_B,13,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 30785, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
85243,Faster RCNN C++,Faster RCNN C++,faster-rcnn-c,5,0,5,,2020-06-12T16:54:08.557Z,2020-09-23T12:16:41.319Z,True,2020-09-23T12:16:41.319Z,regular,False,False,,,True,False,False,,,238,0,False,Jeremy_Tavrisov,13,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 32082, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 18694, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 33897, 'primary_group_id': None}]"
97025,Is there a way to prefix in load_state_dict,Is there a way to prefix in load_state_dict,is-there-a-way-to-prefix-in-load-state-dict,2,0,2,,2020-09-21T16:51:36.269Z,2020-09-23T08:27:51.681Z,True,2020-09-23T08:27:51.681Z,regular,False,False,,,True,False,False,,,23,0,False,ptrblck,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36938, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97150,Batch norm mix precision jit bug,Batch norm mix precision jit bug,batch-norm-mix-precision-jit-bug,1,0,1,https://discuss.pytorch.org/uploads/default/optimized/3X/d/d/dd806f07ae1b4be0405d23cc164828bfc1854882_2_1024x471.png,2020-09-22T16:47:03.808Z,2020-09-22T16:47:03.865Z,True,2020-09-22T16:47:03.865Z,regular,False,False,,,True,False,False,,,21,0,False,Fangzou_Liao,13,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 734, 'primary_group_id': None}]"
97046,Where do we find the tests for PyTorch backwards compatibility tests?,Where do we find the tests for PyTorch backwards compatibility tests?,where-do-we-find-the-tests-for-pytorch-backwards-compatibility-tests,1,0,1,,2020-09-21T20:51:27.841Z,2020-09-21T20:51:27.932Z,True,2020-09-21T20:51:27.932Z,regular,False,False,,,True,False,False,,,24,0,False,vdantu,13,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 21801, 'primary_group_id': None}]"
95679,Getting Unknown type annotation error when JIT saving,Getting Unknown type annotation error when JIT saving,getting-unknown-type-annotation-error-when-jit-saving,7,1,7,,2020-09-09T14:22:25.829Z,2020-09-15T14:06:45.276Z,True,2020-09-15T14:06:45.276Z,regular,False,False,,,True,False,False,,,75,0,False,ArthurNieuwland,13,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36482, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 34116, 'primary_group_id': None}]"
95978,Declarative specification of the Torchscript IR,Declarative specification of the Torchscript IR,declarative-specification-of-the-torchscript-ir,5,2,5,,2020-09-11T22:28:51.474Z,2020-09-11T23:26:18.849Z,True,2020-09-11T23:26:18.849Z,regular,False,False,,,True,False,False,,,89,1,False,Stella_Laurenzo,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 34328, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 34116, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 36582, 'primary_group_id': None}]"
95845,TorchScript: how can I access functions that were exported using @torch.jit.export?,TorchScript: how can I access functions that were exported using @torch.jit.export?,torchscript-how-can-i-access-functions-that-were-exported-using-torch-jit-export,3,1,3,,2020-09-10T22:30:32.119Z,2020-09-10T22:51:01.776Z,True,2020-09-10T22:51:01.776Z,regular,False,False,,,True,False,False,,,37,0,False,rfejgin,13,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36339, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 34116, 'primary_group_id': None}]"
95789,My pytorch conversion to mobile is not working...!,My pytorch conversion to mobile is not working&hellip;!,my-pytorch-conversion-to-mobile-is-not-working,2,0,2,,2020-09-10T11:30:07.573Z,2020-09-10T11:39:25.972Z,True,2020-09-10T11:39:25.972Z,regular,False,False,,,True,False,False,,,26,0,False,SungmanHong,13,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36520, 'primary_group_id': None}]"
92847,"Torch.jit.trace works, but torch.jit.script does not","Torch.jit.trace works, but torch.jit.script does not",torch-jit-trace-works-but-torch-jit-script-does-not,2,0,2,,2020-08-14T22:37:42.598Z,2020-09-10T06:11:48.681Z,True,2020-09-10T06:11:48.681Z,regular,False,False,,,True,False,False,,,54,0,False,SplitInfinity,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 35523, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 34116, 'primary_group_id': None}]"
94050,Convert string to int/float in torch script,Convert string to int/float in torch script,convert-string-to-int-float-in-torch-script,2,0,2,,2020-08-25T12:26:28.669Z,2020-09-10T06:03:44.223Z,True,2020-09-10T06:03:44.223Z,regular,False,False,,,True,False,False,,,65,0,False,SplitInfinity,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 35934, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 34116, 'primary_group_id': None}]"
95683,How to add annotation to work with JIT for nn.Sequential,How to add annotation to work with JIT for nn.Sequential,how-to-add-annotation-to-work-with-jit-for-nn-sequential,2,0,2,,2020-09-09T14:51:14.595Z,2020-09-09T21:13:03.970Z,True,2020-09-09T21:13:03.970Z,regular,False,False,,,True,False,False,,,35,0,False,SplitInfinity,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 19567, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 34116, 'primary_group_id': None}]"
95624,"When to use jit.trace, and when to use jit.script?","When to use jit.trace, and when to use jit.script?",when-to-use-jit-trace-and-when-to-use-jit-script,2,0,2,,2020-09-09T05:54:05.713Z,2020-09-09T10:04:49.291Z,True,2020-09-09T10:04:49.291Z,regular,False,False,,,True,False,False,,,39,0,False,googlebot,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36084, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 29375, 'primary_group_id': None}]"
63913,'module' object is not iterable:,&lsquo;module&rsquo; object is not iterable:,module-object-is-not-iterable,6,4,6,,2019-12-13T02:29:09.917Z,2020-09-09T08:36:13.649Z,True,2020-09-09T08:36:13.649Z,regular,False,False,,,True,False,False,,,612,0,False,kwanUm,13,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 18345, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6092, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 15734, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 20653, 'primary_group_id': None}]"
85109,torch.jit.frontend.NotSupportedError: Compiled functions can't take variable number of arguments or use keyword-only arguments with defaults:,torch.jit.frontend.NotSupportedError: Compiled functions can&rsquo;t take variable number of arguments or use keyword-only arguments with defaults:,torch-jit-frontend-notsupportederror-compiled-functions-cant-take-variable-number-of-arguments-or-use-keyword-only-arguments-with-defaults,6,2,6,,2020-06-11T21:38:54.716Z,2020-09-08T14:01:59.076Z,True,2020-09-08T14:01:59.076Z,regular,False,False,,,True,False,False,,,257,1,False,Oded_Golden,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 32676, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13180, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 22582, 'primary_group_id': None}]"
95393,Debugging backward errors,Debugging backward errors,debugging-backward-errors,3,1,3,,2020-09-07T03:29:57.080Z,2020-09-07T11:26:21.278Z,True,2020-09-07T11:26:21.278Z,regular,False,False,,,True,False,False,,,37,0,False,googlebot,13,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 29375, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}]"
95158,[Torchscript] Serialization - Loss of Information,[Torchscript] Serialization - Loss of Information,torchscript-serialization-loss-of-information,1,0,1,,2020-09-04T09:00:28.170Z,2020-09-04T09:00:28.235Z,True,2020-09-04T09:00:28.235Z,regular,False,False,,,True,False,False,,,48,0,False,Knight3,13,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36315, 'primary_group_id': None}]"
95044,[TorchScript] PackedSequence issue,[TorchScript] PackedSequence issue,torchscript-packedsequence-issue,1,0,1,,2020-09-03T10:12:02.148Z,2020-09-03T10:12:02.206Z,True,2020-09-03T10:12:02.206Z,regular,False,False,,,True,False,False,,,45,0,False,Bartlomiej_Roszak,13,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36277, 'primary_group_id': None}]"
62337,FasterRCNN Resnet50 JIT Trace,FasterRCNN Resnet50 JIT Trace,fasterrcnn-resnet50-jit-trace,14,6,14,,2019-11-27T17:46:44.588Z,2020-03-10T16:09:57.703Z,True,2020-09-03T04:34:22.535Z,regular,False,False,,,True,False,False,,,1722,2,False,HussainHaris,13,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 24370, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14313, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 27036, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 23420, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 28669, 'primary_group_id': None}]"
53883,When should I use Tracing rather than Scripting?,When should I use Tracing rather than Scripting?,when-should-i-use-tracing-rather-than-scripting,9,6,9,,2019-08-21T03:05:43.143Z,2020-09-02T18:51:24.472Z,True,2020-09-02T18:51:24.472Z,regular,False,False,,,True,False,False,,,2094,6,False,mpariente,13,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 5536, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3039, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14313, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 29062, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13369, 'primary_group_id': None}]"
94857,Retrieve the device type and device ID from c++ programmatically in a JIT GraphPass,Retrieve the device type and device ID from c++ programmatically in a JIT GraphPass,retrieve-the-device-type-and-device-id-from-c-programmatically-in-a-jit-graphpass,3,0,3,,2020-09-01T19:44:36.729Z,2020-09-01T20:25:29.604Z,True,2020-09-01T20:25:29.604Z,regular,False,False,,,True,False,False,,,46,0,False,vdantu,13,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 21801, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}]"
