id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
93965,About the mixed-precision category,About the mixed-precision category,about-the-mixed-precision-category,1,0,1,,2020-08-24T19:56:17.235Z,,True,2020-08-24T19:56:17.235Z,regular,False,True,,,True,False,False,,,40,0,False,albanD,27,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 211, 'primary_group_id': None}]"
97003,NAN loss after training several seconds,NAN loss after training several seconds,nan-loss-after-training-several-seconds,10,8,10,,2020-09-21T12:58:51.152Z,2020-09-26T01:48:56.229Z,True,2020-09-26T01:48:56.229Z,regular,False,False,,,True,False,False,,,58,0,False,hulianyuyy,27,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36926, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97190,Disabling mixed precsion in my own layers,Disabling mixed precsion in my own layers,disabling-mixed-precsion-in-my-own-layers,2,0,2,,2020-09-23T02:43:04.302Z,2020-09-24T07:55:30.811Z,True,2020-09-24T07:55:30.811Z,regular,False,False,,,True,False,False,,,27,1,False,ptrblck,27,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 17222, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97338,Loading saved Amp models into ensemble,Loading saved Amp models into ensemble,loading-saved-amp-models-into-ensemble,3,1,3,,2020-09-24T07:27:15.501Z,2020-09-24T07:53:00.793Z,True,2020-09-24T07:53:00.793Z,regular,False,False,,,True,False,False,,,22,0,False,Eiphodos,27,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 37043, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97224,Alternative to torch.inverse for 16 bit,Alternative to torch.inverse for 16 bit,alternative-to-torch-inverse-for-16-bit,2,0,2,,2020-09-23T08:02:59.756Z,2020-09-23T08:22:55.033Z,True,2020-09-23T08:22:55.033Z,regular,False,False,,,True,False,False,,,20,0,False,tom,27,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 10605, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 616, 'primary_group_id': None}]"
97067,RuntimeError: Input type (torch.cuda.HalfTensor) and weight type (torch.cuda.FloatTensor) should be the same,RuntimeError: Input type (torch.cuda.HalfTensor) and weight type (torch.cuda.FloatTensor) should be the same,runtimeerror-input-type-torch-cuda-halftensor-and-weight-type-torch-cuda-floattensor-should-be-the-same,4,2,4,,2020-09-22T03:05:59.057Z,2020-09-22T06:15:44.940Z,True,2020-09-22T06:15:44.940Z,regular,False,False,,,True,False,False,,,39,0,False,ptrblck,27,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12696, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
96564,Mixed precision and Spectral norm,Mixed precision and Spectral norm,mixed-precision-and-spectral-norm,5,3,5,,2020-09-17T00:42:27.940Z,2020-09-21T14:13:17.460Z,True,2020-09-21T14:13:17.460Z,regular,False,False,,,True,False,False,,,56,1,False,dougsouza,27,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 20163, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
96588,Does amp training can use torch.nn.DataParallel at the sametime？,Does amp training can use torch.nn.DataParallel at the sametime？,does-amp-training-can-use-torch-nn-dataparallel-at-the-sametime,8,5,8,,2020-09-17T07:21:55.863Z,2020-09-17T10:22:30.736Z,True,2020-09-17T10:22:30.736Z,regular,False,False,,,True,False,False,,,33,2,False,Feywell,27,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12696, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14363, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
95560,Fp16 training with feedforward network slower time and no memory reduction,Fp16 training with feedforward network slower time and no memory reduction,fp16-training-with-feedforward-network-slower-time-and-no-memory-reduction,11,8,11,,2020-09-08T14:11:32.090Z,2020-09-15T11:59:20.407Z,True,2020-09-15T11:59:20.407Z,regular,False,False,,,True,False,False,,,61,0,False,seungjun,27,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36438, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 33986, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 31418, 'primary_group_id': None}]"
95113,Convert_syncbn_model causes gradient overflow with apex mixed precision,Convert_syncbn_model causes gradient overflow with apex mixed precision,convert-syncbn-model-causes-gradient-overflow-with-apex-mixed-precision,9,7,9,,2020-09-03T21:43:07.455Z,2020-09-14T19:27:49.941Z,True,2020-09-15T09:53:25.555Z,regular,False,False,,,True,False,False,,,101,1,False,hanzCV,27,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36303, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
95827,What is the correct way of computing a grad penalty using AMP?,What is the correct way of computing a grad penalty using AMP?,what-is-the-correct-way-of-computing-a-grad-penalty-using-amp,3,1,3,,2020-09-10T17:53:56.076Z,2020-09-14T20:40:40.765Z,True,2020-09-14T20:40:40.765Z,regular,False,False,,,True,False,False,,,61,2,False,ayalaa2,27,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 28328, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10121, 'primary_group_id': None}]"
95718,Do I need to save the state_dict oof GradScaler?,Do I need to save the state_dict oof GradScaler?,do-i-need-to-save-the-state-dict-oof-gradscaler,2,0,2,,2020-09-09T22:41:21.198Z,2020-09-12T07:44:49.782Z,True,2020-09-12T07:44:49.782Z,regular,False,False,,,True,False,False,,,42,1,False,ptrblck,27,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36499, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
94035,Inference in ONNX mixed precision model,Inference in ONNX mixed precision model,inference-in-onnx-mixed-precision-model,3,0,3,,2020-08-25T10:39:56.177Z,2020-08-28T11:57:00.076Z,True,2020-08-28T11:57:00.076Z,regular,False,False,,,True,False,False,,,97,0,False,Westerby,27,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 21437, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
93923,Issue with automatic mixed precision,Issue with automatic mixed precision,issue-with-automatic-mixed-precision,4,2,5,,2020-08-24T13:20:32.029Z,2020-08-28T09:03:34.098Z,True,2020-08-28T09:03:34.098Z,regular,False,False,,,True,False,False,,,88,0,False,smujjiga,27,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 8731, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
94175,Optimizer.step() -- ok; scaler.step(optimizer): No inf checks were recorded for this optimizer,Optimizer.step() &ndash; ok; scaler.step(optimizer): No inf checks were recorded for this optimizer,optimizer-step-ok-scaler-step-optimizer-no-inf-checks-were-recorded-for-this-optimizer,2,0,2,,2020-08-26T12:19:05.797Z,2020-08-27T19:31:21.218Z,True,2020-08-27T19:46:20.903Z,regular,False,False,,,True,False,False,,,104,0,False,Vladimir_Iashin,27,False,,True,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12341, 'primary_group_id': None}]"
94184,Mixed precision in evaluation,Mixed precision in evaluation,mixed-precision-in-evaluation,2,0,2,,2020-08-26T13:09:03.685Z,2020-08-27T08:36:24.385Z,True,2020-08-27T08:36:24.385Z,regular,False,False,,,True,False,False,,,67,0,False,ptrblck,27,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 35973, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
