id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
57726,About the Mobile category,About the Mobile category,about-the-mobile-category,2,0,2,,2019-10-08T23:12:39.747Z,2019-11-15T07:04:26.173Z,True,2019-11-15T07:04:26.173Z,regular,False,True,,"This category is dedicated for iOS and Android issues, new features and general discussion of PyTorch Mobile.",True,False,False,,,209,0,False,vgsprasad,18,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 9889, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 24102, 'primary_group_id': None}]"
75830,1 channel input on Pytorch Mobile - Android,1 channel input on Pytorch Mobile - Android,1-channel-input-on-pytorch-mobile-android,2,0,2,https://discuss.pytorch.org/uploads/default/original/3X/3/b/3b180dbc4992c1bacfaf971fb98b82008f08932b.png,2020-04-08T09:39:42.815Z,2020-09-27T06:44:03.439Z,True,2020-09-27T06:44:03.439Z,regular,False,False,,,True,False,False,,,128,1,False,NAVEEN_PALURU,18,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 28759, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8335, 'primary_group_id': None}]"
70937,How can I enable GPU support for torch mobile on android?,How can I enable GPU support for torch mobile on android?,how-can-i-enable-gpu-support-for-torch-mobile-on-android,3,0,3,,2020-02-25T03:22:58.752Z,2020-09-22T11:36:03.528Z,True,2020-09-22T11:36:03.528Z,regular,False,False,,,True,False,False,,,370,1,False,Tassilo,18,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 8917, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 36967, 'primary_group_id': None}]"
96197,Mobile deployment best practice?,Mobile deployment best practice?,mobile-deployment-best-practice,3,1,3,,2020-09-14T07:58:30.211Z,2020-09-17T11:46:36.044Z,True,2020-09-17T11:46:36.044Z,regular,False,False,,,True,False,False,,,57,0,False,seungjun,18,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 31418, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 31164, 'primary_group_id': None}]"
66641,Network inference on GPU under Android,Network inference on GPU under Android,network-inference-on-gpu-under-android,4,1,4,,2020-01-14T14:05:24.005Z,2020-09-17T07:48:30.931Z,True,2020-09-17T07:48:30.931Z,regular,False,False,,,True,False,False,,,228,2,False,seungjun,18,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 24200, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 24320, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 36721, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 31418, 'primary_group_id': None}]"
96579,Android : Pytorch,Android : Pytorch,android-pytorch,1,0,1,,2020-09-17T05:59:21.634Z,2020-09-17T05:59:21.714Z,True,2020-09-17T05:59:21.714Z,regular,False,False,,,True,False,False,,,36,0,False,NAVEEN_PALURU,18,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 8335, 'primary_group_id': None}]"
96324,"How to indexing IValue in java? (my case : tuple of [1,496,640,2])","How to indexing IValue in java? (my case : tuple of [1,496,640,2])",how-to-indexing-ivalue-in-java-my-case-tuple-of-1-496-640-2,1,0,1,,2020-09-15T07:46:02.417Z,2020-09-15T07:46:02.465Z,True,2020-09-15T07:46:02.465Z,regular,False,False,,,True,False,False,,,21,0,False,SungmanHong,18,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36520, 'primary_group_id': None}]"
96322,"Expected IValue type 10, actual type 2","Expected IValue type 10, actual type 2",expected-ivalue-type-10-actual-type-2,2,0,2,,2020-09-15T07:36:05.522Z,2020-09-15T07:39:03.027Z,True,2020-09-15T07:39:03.027Z,regular,False,False,,,True,False,False,,,18,0,False,SungmanHong,18,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36520, 'primary_group_id': None}]"
96174,Tuple outputs = model.forward(inputs).toTuple();,Tuple outputs = model.forward(inputs).toTuple();,tuple-outputs-model-forward-inputs-totuple,1,0,1,,2020-09-14T02:59:31.824Z,2020-09-14T02:59:31.877Z,True,2020-09-14T02:59:31.877Z,regular,False,False,,,True,False,False,,,31,0,False,SungmanHong,18,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36520, 'primary_group_id': None}]"
96092,Perform reshape of tensor in JAVA.pytorch,Perform reshape of tensor in JAVA.pytorch,perform-reshape-of-tensor-in-java-pytorch,1,0,1,,2020-09-13T07:12:36.788Z,2020-09-13T07:12:36.880Z,True,2020-09-13T07:12:36.880Z,regular,False,False,,,True,False,False,,,29,0,False,SungmanHong,18,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36520, 'primary_group_id': None}]"
