id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
11314,About the nlp category,About the nlp category,about-the-nlp-category,2,0,2,,2017-12-18T21:50:02.472Z,2019-10-20T11:42:30.757Z,True,2019-10-20T11:42:30.757Z,regular,False,True,,,True,False,False,,,881,3,False,Shisho_Sama,8,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 1, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 7863, 'primary_group_id': None}]"
97477,Cuda runtime error (710) : device-side assert triggered at,Cuda runtime error (710) : device-side assert triggered at,cuda-runtime-error-710-device-side-assert-triggered-at,2,0,2,,2020-09-25T10:38:20.006Z,2020-09-26T02:20:19.351Z,True,2020-09-26T02:20:19.351Z,regular,False,False,,,True,False,False,,,31,0,False,ptrblck,8,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36207, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97533,How to use WeightedRandomSampler and nn.BCEWithLogitsLoss(),How to use WeightedRandomSampler and nn.BCEWithLogitsLoss(),how-to-use-weightedrandomsampler-and-nn-bcewithlogitsloss,1,0,1,,2020-09-25T23:19:14.688Z,2020-09-25T23:19:14.748Z,True,2020-09-25T23:19:14.748Z,regular,False,False,,,True,False,False,,,22,0,False,backpackerice,8,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36908, 'primary_group_id': None}]"
97530,How to use EmbeddingBag with uneven 3D data?,How to use EmbeddingBag with uneven 3D data?,how-to-use-embeddingbag-with-uneven-3d-data,1,0,1,,2020-09-25T21:44:41.487Z,2020-09-25T21:44:41.551Z,True,2020-09-25T22:19:22.583Z,regular,False,False,,,True,False,False,,,33,0,False,Abhishaike_Mahajan,8,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 8195, 'primary_group_id': None}]"
97478,Simple example on how BucketIterator works,Simple example on how BucketIterator works,simple-example-on-how-bucketiterator-works,1,0,1,,2020-09-25T10:44:24.644Z,2020-09-25T10:44:24.721Z,True,2020-09-25T10:49:26.510Z,regular,False,False,,,True,False,False,,,24,0,False,dokato,8,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 15985, 'primary_group_id': None}]"
97417,How to get pooler_output from fine tuned BERT?,How to get pooler_output from fine tuned BERT?,how-to-get-pooler-output-from-fine-tuned-bert,1,0,1,,2020-09-24T21:39:08.113Z,2020-09-24T21:39:08.180Z,True,2020-09-24T22:52:23.962Z,regular,False,False,,,True,False,False,,,27,0,False,sasha,8,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 26756, 'primary_group_id': None}]"
46724,Add additional data such as word features to word embedding,Add additional data such as word features to word embedding,add-additional-data-such-as-word-features-to-word-embedding,5,2,5,,2019-05-31T08:40:32.531Z,2020-09-24T19:29:36.350Z,True,2020-09-24T19:29:36.350Z,regular,False,False,,,True,False,False,,,193,3,False,mbednarski,8,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 18288, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 1438, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 19246, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 4416, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 2178, 'primary_group_id': None}]"
96593,DataLoader returns error when iteration starts,DataLoader returns error when iteration starts,dataloader-returns-error-when-iteration-starts,3,0,3,,2020-09-17T08:03:09.912Z,2020-09-24T17:53:23.996Z,True,2020-09-24T17:53:23.996Z,regular,False,False,,,True,False,False,,,34,1,False,venkat.r,8,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36789, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 2178, 'primary_group_id': None}]"
97303,Create a mask tensor using index,Create a mask tensor using index,create-a-mask-tensor-using-index,7,2,7,,2020-09-23T23:59:57.361Z,2020-09-24T15:16:23.521Z,True,2020-09-24T15:16:23.521Z,regular,False,False,,,True,False,False,,,53,2,False,pfloat,8,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 29406, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 2201, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 36396, 'primary_group_id': None}]"
97154,"8 k80 GPU trains a classification model always stopped at epoch1, with no exception logged","8 k80 GPU trains a classification model always stopped at epoch1, with no exception logged",8-k80-gpu-trains-a-classification-model-always-stopped-at-epoch1-with-no-exception-logged,2,0,2,,2020-09-22T17:03:12.528Z,2020-09-24T07:41:07.239Z,True,2020-09-24T07:41:07.239Z,regular,False,False,,,True,False,False,,,25,0,False,ptrblck,8,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36982, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97317,Dual BERT/Two Channel BERT cuda out of memory,Dual BERT/Two Channel BERT cuda out of memory,dual-bert-two-channel-bert-cuda-out-of-memory,1,0,1,,2020-09-24T01:47:02.492Z,2020-09-24T01:47:02.551Z,True,2020-09-24T01:47:02.551Z,regular,False,False,,,True,False,False,,,26,0,False,backpackerice,8,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36908, 'primary_group_id': None}]"
97296,Transformer Pair Sentence Classification,Transformer Pair Sentence Classification,transformer-pair-sentence-classification,1,0,1,,2020-09-23T22:11:33.020Z,2020-09-23T22:11:33.084Z,True,2020-09-23T22:11:33.084Z,regular,False,False,,,True,False,False,,,26,0,False,Unity05,8,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 28069, 'primary_group_id': None}]"
96618,Retrieve elements from a 3D tensor with a 2D index tensor,Retrieve elements from a 3D tensor with a 2D index tensor,retrieve-elements-from-a-3d-tensor-with-a-2d-index-tensor,2,0,2,,2020-09-17T11:46:35.226Z,2020-09-23T16:25:05.039Z,True,2020-09-23T16:25:05.039Z,regular,False,False,,,True,False,False,,,27,0,False,mbednarski,8,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36800, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 2178, 'primary_group_id': None}]"
96157,Converting output of RNN to sentences for language modeling,Converting output of RNN to sentences for language modeling,converting-output-of-rnn-to-sentences-for-language-modeling,2,0,2,,2020-09-13T23:35:57.262Z,2020-09-23T11:48:40.906Z,True,2020-09-23T11:48:40.906Z,regular,False,False,,,True,False,False,,,48,1,False,mbednarski,8,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36644, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 2178, 'primary_group_id': None}]"
82478,Feedback on manually implemented hierarchical softmax,Feedback on manually implemented hierarchical softmax,feedback-on-manually-implemented-hierarchical-softmax,2,0,2,,2020-05-22T12:50:17.221Z,2020-09-22T15:49:21.782Z,True,2020-09-22T15:49:21.782Z,regular,False,False,,,True,False,False,,,224,0,False,Amir_Raza,8,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 27382, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 36979, 'primary_group_id': None}]"
96663,FP16 (AMP) training slow down with PyTorch 1.6.0,FP16 (AMP) training slow down with PyTorch 1.6.0,fp16-amp-training-slow-down-with-pytorch-1-6-0,7,4,7,,2020-09-17T20:23:12.177Z,2020-09-22T04:41:52.826Z,True,2020-09-22T04:41:52.826Z,regular,False,False,,,True,False,False,,,76,2,False,ptrblck,8,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36810, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14363, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
21386,LogSoftmax vs Softmax,LogSoftmax vs Softmax,logsoftmax-vs-softmax,21,14,21,,2018-07-19T13:32:32.179Z,2020-09-21T17:59:45.099Z,True,2020-09-21T17:59:45.099Z,regular,False,False,,,True,False,False,,,28570,62,False,KFrank,8,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 9295, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 77, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 364, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 18088, 'primary_group_id': None}]"
96868,My validation loss decreases then increases,My validation loss decreases then increases,my-validation-loss-decreases-then-increases,3,1,3,https://discuss.pytorch.org/uploads/default/optimized/3X/b/e/bec444c2ccc7ca85d9a5311278ddce4d58367ed7_2_1024x329.jpeg,2020-09-19T19:52:15.834Z,2020-09-20T20:33:29.591Z,True,2020-09-20T20:33:29.591Z,regular,False,False,,,True,False,False,,,45,1,False,Dexter,8,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36878, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 1438, 'primary_group_id': None}]"
