id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
22,About the vision category,About the vision category,about-the-vision-category,3,1,4,,2017-01-14T16:57:30.334Z,2020-01-03T08:10:01.999Z,True,2020-01-03T08:10:01.999Z,regular,False,True,,Topics related to either pytorch/vision or vision research related topics,True,False,False,,,1439,0,False,JoBot_CoBot,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 1, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14470, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 26177, 'primary_group_id': None}]"
49314,Implementing Batchnorm in Pytorch. Problem with updating self.running_mean and self.running_var,Implementing Batchnorm in Pytorch. Problem with updating self.running_mean and self.running_var,implementing-batchnorm-in-pytorch-problem-with-updating-self-running-mean-and-self-running-var,15,13,18,,2019-06-30T05:39:46.238Z,2020-09-27T09:41:48.292Z,True,2020-09-27T12:57:30.669Z,regular,False,False,,,True,False,False,,,3295,7,False,mathematics,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 15622, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8967, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10956, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 27814, 'primary_group_id': None}]"
97581,How to realize an arbitrary dimension batchnorm layer?,How to realize an arbitrary dimension batchnorm layer?,how-to-realize-an-arbitrary-dimension-batchnorm-layer,2,0,2,,2020-09-27T07:59:45.960Z,2020-09-27T09:54:50.769Z,True,2020-09-27T09:54:50.769Z,regular,False,False,,,True,False,False,,,16,0,False,ptrblck,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 31183, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97445,Get probabilities from Resnet output,Get probabilities from Resnet output,get-probabilities-from-resnet-output,4,2,4,,2020-09-25T06:05:38.358Z,2020-09-27T09:21:42.568Z,True,2020-09-27T09:21:42.568Z,regular,False,False,,,True,False,False,,,38,0,False,ptrblck,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36145, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97554,Removing 2 layers from inception pretrained model is giving errors,Removing 2 layers from inception pretrained model is giving errors,removing-2-layers-from-inception-pretrained-model-is-giving-errors,2,0,2,,2020-09-26T05:19:28.975Z,2020-09-27T01:36:27.228Z,True,2020-09-27T01:36:27.228Z,regular,False,False,,,True,False,False,,,22,0,False,ptrblck,5,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 23815, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97374,Fold and Unfold: How do I put this image tensor back together again?,Fold and Unfold: How do I put this image tensor back together again?,fold-and-unfold-how-do-i-put-this-image-tensor-back-together-again,3,0,3,,2020-09-24T13:33:33.644Z,2020-09-26T22:49:04.942Z,True,2020-09-26T22:49:04.942Z,regular,False,False,,,True,False,False,,,33,0,False,Bled_Clement,5,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 28212, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}]"
97544,The classifier predicts labels randomly,The classifier predicts labels randomly,the-classifier-predicts-labels-randomly,2,0,2,,2020-09-26T01:55:36.459Z,2020-09-26T20:40:30.205Z,True,2020-09-26T20:40:30.205Z,regular,False,False,,,True,False,False,,,28,0,False,hash-ir,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 36962, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14991, 'primary_group_id': None}]"
63590,Simple CNN-based baseline for animal sparse pose estimation,Simple CNN-based baseline for animal sparse pose estimation,simple-cnn-based-baseline-for-animal-sparse-pose-estimation,2,0,2,https://discuss.pytorch.org/uploads/default/optimized/3X/3/5/359304b47fc15df360742228e207a35f8f5a937b_2_1024x475.jpeg,2019-12-10T07:56:37.461Z,2020-09-26T19:51:37.261Z,True,2020-09-26T19:51:37.261Z,regular,False,False,,,True,False,False,,,212,0,False,Mona_Jalal,5,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12408, 'primary_group_id': None}]"
97573,Why my CNN network can't learn high level features,Why my CNN network can&rsquo;t learn high level features,why-my-cnn-network-cant-learn-high-level-features,1,0,1,,2020-09-26T17:12:15.985Z,2020-09-26T17:12:16.041Z,True,2020-09-26T17:39:02.783Z,regular,False,False,,,True,False,False,,,18,0,False,hbolandi,5,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 34298, 'primary_group_id': None}]"
97045,Custom Loss Function when using modules separate from Torch,Custom Loss Function when using modules separate from Torch,custom-loss-function-when-using-modules-separate-from-torch,3,1,3,,2020-09-21T20:21:24.880Z,2020-09-26T15:42:29.725Z,True,2020-09-26T15:42:29.725Z,regular,False,False,,,True,False,False,,,31,0,False,redamit,5,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 11074, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 18088, 'primary_group_id': None}]"
74276,Applying different convolutions on different batch element,Applying different convolutions on different batch element,applying-different-convolutions-on-different-batch-element,6,2,6,,2020-03-24T21:08:54.735Z,2020-09-26T07:38:19.141Z,True,2020-09-26T09:04:20.648Z,regular,False,False,,,True,False,False,,,96,0,False,Sumat_Purewal,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 29208, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 33906, 'primary_group_id': None}]"
97514,SemTorch: A Semantic Segmentation library build above FastAI,SemTorch: A Semantic Segmentation library build above FastAI,semtorch-a-semantic-segmentation-library-build-above-fastai,2,0,2,,2020-09-25T17:54:53.045Z,2020-09-26T08:54:38.227Z,True,2020-09-26T08:54:38.227Z,regular,False,False,,,True,False,False,,,25,0,False,ptrblck,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 30202, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97508,'NoneType' object has no attribute 'repeat',&lsquo;NoneType&rsquo; object has no attribute &lsquo;repeat&rsquo;,nonetype-object-has-no-attribute-repeat,2,0,2,,2020-09-25T16:56:26.955Z,2020-09-26T08:50:37.314Z,True,2020-09-26T08:50:37.314Z,regular,False,False,,,True,False,False,,,25,0,False,ptrblck,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 37106, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
97502,Output of VGG16 on a classification problem,Output of VGG16 on a classification problem,output-of-vgg16-on-a-classification-problem,2,0,2,,2020-09-25T15:32:25.284Z,2020-09-26T08:47:08.954Z,True,2020-09-26T08:47:08.954Z,regular,False,False,,,True,False,False,,,20,0,False,ptrblck,5,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 37015, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 3534, 'primary_group_id': None}]"
