id,title,created_at,reply_count,views,description,creator_link,creator_name,creator_alias,post_date,post_likes,replies,repliers_links,reply_dates,reply_likes
57726,About the Mobile category,2019-10-08T23:12:39.747Z,0,209,"<div class=""post"" itemprop=""articleBody""><NewLine><p>This category is dedicated for iOS and Android issues, new features and general discussion of PyTorch Mobile.</p><NewLine></div>",https://discuss.pytorch.org/u/jspisak,"(Facebook AI, Product Manager)",jspisak,"October 10, 2019,  3:49pm",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>We tried to deploy a object detection model in Android. In PyTorch model, ‘nn.functional.interpolate’ was used in forward path to upsample feature maps . Torch script converted the model without any issues. We are not able to load the model in Android app using ‘Module.load( )’ API. This API is throwing an exception.</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/vgsprasad; <NewLine> ,"REPLY_DATE 1: November 15, 2019,  7:04am; <NewLine> ",REPLY 1 LIKES: ; <NewLine> 
75830,1 channel input on Pytorch Mobile - Android,2020-04-08T09:39:42.815Z,0,128,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi, I’m trying to do a mnist classifier with pytorch-mobile.<br/><NewLine>I’ve export my model with jit in python.</p><NewLine><pre><code class=""lang-auto"">example = torch.rand(1, 1, 28, 28)<NewLine>trace = torch.jit.trace(net, example)<NewLine>trace.save(""mymodel.pt"")<NewLine></code></pre><NewLine><p>And this is how I use it in my kotlin project.</p><NewLine><pre><code class=""lang-auto"">        fun assetFilePath(context: Context, assetName: String): String {<NewLine>            val file = File(context.filesDir, assetName)<NewLine>            if (file.exists() &amp;&amp; file.length() &gt; 0) {<NewLine>                return file.absolutePath<NewLine>            }<NewLine>            context.assets.open(assetName).use { inputStream -&gt;<NewLine>                FileOutputStream(file).use { outputStream -&gt;<NewLine>                    val buffer = ByteArray(4 * 1024)<NewLine>                    var read: Int<NewLine>                    while (inputStream.read(buffer).also { read = it } != -1) {<NewLine>                        outputStream.write(buffer, 0, read)<NewLine>                    }<NewLine>                    outputStream.flush()<NewLine>                }<NewLine>                return file.absolutePath<NewLine>            }<NewLine>        }<NewLine><NewLine>        val module:Module = Module.load(assetFilePath(this, ""mymodel.pt""))<NewLine><NewLine>        val resizedBitmap:Bitmap = Bitmap.createScaledBitmap(<NewLine>            MyCanvasView.extraBitmap,<NewLine>            28,<NewLine>            28,<NewLine>            true<NewLine>        )<NewLine><NewLine>        val inputTensor: Tensor = TensorImageUtils.bitmapToFloat32Tensor(<NewLine>            resizedBitmap,<NewLine>            TensorImageUtils.TORCHVISION_NORM_MEAN_RGB,<NewLine>            TensorImageUtils.TORCHVISION_NORM_STD_RGB<NewLine>        )<NewLine><NewLine>        val outputTensor = module.forward(IValue.from(inputTensor)).toTensor()<NewLine></code></pre><NewLine><p>the problem is inputTensor’s shape is [1, 3, 28, 28].  How can I create a single channel tensor from a bitmap?</p><NewLine><pre><code class=""lang-auto"">java.lang.RuntimeException: Given groups=1, weight of size 8 1 3 3, expected input[1, 3, 28, 28] to have 1 channels, but got 3 channels instead<NewLine>    The above operation failed in interpreter.<NewLine></code></pre><NewLine><p><div class=""lightbox-wrapper""><a class=""lightbox"" data-download-href=""https://discuss.pytorch.org/uploads/default/3b180dbc4992c1bacfaf971fb98b82008f08932b"" href=""https://discuss.pytorch.org/uploads/default/original/3X/3/b/3b180dbc4992c1bacfaf971fb98b82008f08932b.png"" title=""image""><img alt=""image"" data-base62-sha1=""8qLHJQ00lJIjytV4wc1b9vIle8b"" data-small-upload=""https://discuss.pytorch.org/uploads/default/optimized/3X/3/b/3b180dbc4992c1bacfaf971fb98b82008f08932b_2_10x10.png"" height=""500"" src=""https://discuss.pytorch.org/uploads/default/optimized/3X/3/b/3b180dbc4992c1bacfaf971fb98b82008f08932b_2_257x500.png"" srcset=""https://discuss.pytorch.org/uploads/default/optimized/3X/3/b/3b180dbc4992c1bacfaf971fb98b82008f08932b_2_257x500.png, https://discuss.pytorch.org/uploads/default/optimized/3X/3/b/3b180dbc4992c1bacfaf971fb98b82008f08932b_2_385x750.png 1.5x, https://discuss.pytorch.org/uploads/default/original/3X/3/b/3b180dbc4992c1bacfaf971fb98b82008f08932b.png 2x"" width=""257""/><div class=""meta""><NewLine><svg aria-hidden=""true"" class=""fa d-icon d-icon-far-image svg-icon""><use xlink:href=""#far-image""></use></svg><span class=""filename"">image</span><span class=""informations"">423×820 14.1 KB</span><svg aria-hidden=""true"" class=""fa d-icon d-icon-discourse-expand svg-icon""><use xlink:href=""#discourse-expand""></use></svg><NewLine></div></a></div></p><NewLine></div>",https://discuss.pytorch.org/u/cansozbir,(Can Sözbir),cansozbir,"April 8, 2020, 10:50am",1 Like,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>Hi, I am also facing a similar issue of using 1 channel images in the PyTorch Android. Did you find any way out?</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>Hi, you can try this way.</p><NewLine><p>Make sure that, x = torch.mean(x,dim=1,keepdim=True), is the first statement in the forward method of pytorch model.</p><NewLine><p>Then,</p><NewLine><p>example = torch.rand(1, 3, 28, 28)<br/><NewLine>trace = torch.jit.trace(net, example)<br/><NewLine>trace.save(“mymodel.pt”)</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/NAVEEN_PALURU; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/NAVEEN_PALURU; <NewLine> ,"REPLY_DATE 1: September 27, 2020,  6:44am; <NewLine> REPLY_DATE 2: September 28, 2020,  8:16am; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: ; <NewLine> 
70937,How can I enable GPU support for torch mobile on android?,2020-02-25T03:22:58.752Z,0,370,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi! Is there any way to use GPU delegate (like options.gpuDelegate for tflite models) for torch mobile on android to speed up inference time? I’ve found CPU only options both for QNNPACK and FBGEMM models . Thank you!</p><NewLine></div>",https://discuss.pytorch.org/u/ZackPashkin,(Zack Pashkin),ZackPashkin,"February 25, 2020,  3:22am",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><aside class=""quote"" data-post=""2"" data-topic=""66641""><NewLine><div class=""title""><NewLine><div class=""quote-controls""></div><NewLine><img alt="""" class=""avatar"" height=""20"" src=""/letter_avatar_proxy/v4/letter/s/db5fbb/40.png"" width=""20""/><NewLine><a href=""https://discuss.pytorch.org/t/network-inference-on-gpu-under-android/66641/2"">Network inference on GPU under Android</a> <a class=""badge-wrapper bullet"" href=""/c/mobile""><span class=""badge-category-bg"" style=""background-color: #92278F;""></span><span class=""badge-category clear-badge"" data-drop-close=""true"" style="""" title=""This category is dedicated for iOS and Android issues, new features and general discussion of PyTorch Mobile."">Mobile</span></a><NewLine></div><NewLine><blockquote><NewLine>    This is currently not supported, but we are actively looking into supporting inference on GPU on mobile devices. <NewLine>Stay tuned for future releases!<NewLine>  </blockquote><NewLine></aside><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>Is there any update on this? We would really love to go forward using pytorch mobile, but this is a blocker.</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/tom; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/Tassilo; <NewLine> ,"REPLY_DATE 1: September 14, 2020,  3:03pm; <NewLine> REPLY_DATE 2: September 22, 2020, 11:36am; <NewLine> ",REPLY 1 LIKES: 1 Like; <NewLine> REPLY 2 LIKES: ; <NewLine> 
96197,Mobile deployment best practice?,2020-09-14T07:58:30.211Z,1,57,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi, my goal is to deploy CNNs (or Conv RNNs) on Android devices with Snapdragon processors. ex) Pixel 4 (snapdragon 855)<br/><NewLine>I want to make my models run as fast as possible with GPU or DSP.</p><NewLine><p>Currently, I find 2 ways to deploy PyTorch models.</p><NewLine><ol><NewLine><li>PyTorch mobile</li><NewLine></ol><NewLine><p>This is a natively supported method of PyTorch and I like it.<br/><NewLine>But mobile GPU execution is not supported yet.<br/><NewLine>I see several PRs related to vulkan APIs <a href=""https://github.com/pytorch/pytorch/pulls?q=is%3Apr+is%3Aopen+vulkan"" rel=""nofollow noopener"">here</a><br/><NewLine>Will mobile GPU/DSP be supported in near future?</p><NewLine><p>I found this <a href=""https://developer.qualcomm.com/blog/snapdragon-supports-pytorch-10-ai-research-and-production-same-framework"" rel=""nofollow noopener"">article</a> from Qualcomm that they will support PyTorch but I don’t find any follow-up.</p><NewLine><ol start=""2""><NewLine><li>PyTorch -&gt; onnx</li><NewLine></ol><NewLine><p>Pytorch models could be exported to onnx format.<br/><NewLine>From onnx I can convert the models into DLC format with SNPE SDK.<br/><NewLine>But it will be more difficult to create an app with such forms.</p><NewLine><p>Are there any other ways I didn’t find? What would be the best way to deploy PyTorch models on mobile devices?<br/><NewLine>I used TensorFlow lite before but would prefer to use PyTorch if possible as I mainly use PyTorch.</p><NewLine></div>",https://discuss.pytorch.org/u/seungjun,,seungjun,"September 14, 2020,  7:58am",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>I don’t know when Pytorch Mobile will support GPU execution. I looking forward to it <img alt="":slight_smile:"" class=""emoji"" src=""https://discuss.pytorch.org/images/emoji/apple/slight_smile.png?v=9"" title="":slight_smile:""/></p><NewLine><p>Meanwhile, I run on CPU. I follow <a href=""https://pytorch.org/tutorials/recipes/mobile_perf.html"" rel=""nofollow noopener"">this recipe</a> to squeeze the maximum performance as possible. I found it that Pytorch is faster than TF Lite and as fast as TF  Lite when using XNNPACK experimental backend.</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>Thanks for sharing your experience!<br/><NewLine>I typically work on image regression models that consume quite heavy computation.</p><NewLine><p>While waiting for the official mobile GPU support, I guess your suggestion is the most practical way at the time being.</p><NewLine><p>By the way, I found that GPU &amp; NNAPI acceleration might be possible if we use onnx runtime.<br/><NewLine><aside class=""quote"" data-post=""4"" data-topic=""66641""><NewLine><div class=""title""><NewLine><div class=""quote-controls""></div><NewLine><img alt="""" class=""avatar"" height=""20"" src=""/letter_avatar_proxy/v4/letter/s/90ced4/40.png"" width=""20""/><NewLine><a href=""https://discuss.pytorch.org/t/network-inference-on-gpu-under-android/66641/4"">Network inference on GPU under Android</a> <a class=""badge-wrapper bullet"" href=""/c/mobile/18""><span class=""badge-category-bg"" style=""background-color: #92278F;""></span><span class=""badge-category clear-badge"" data-drop-close=""true"" style="""" title=""This category is dedicated for iOS and Android issues, new features and general discussion of PyTorch Mobile."">Mobile</span></a><NewLine></div><NewLine><blockquote><NewLine>    I recently read about ONNX runtime and it might be an alternative. <NewLine>PyTorch could export models to ONNX format and run the model with ONNX runtime. <NewLine><a class=""onebox"" href=""https://pytorch.org/docs/stable/onnx.html"" rel=""nofollow noopener"" target=""_blank"">https://pytorch.org/docs/stable/onnx.html</a> <NewLine>According to the <a href=""https://github.com/microsoft/onnxruntime/blob/master/docs/execution_providers/NNAPI-ExecutionProvider.md"" rel=""nofollow noopener"">onnxruntime</a>, NNAPI is supported including CPU and GPU inference. <NewLine>I didn’t try it but looks like it is the only Android gpu-enabled accelerator for now.<NewLine>  </blockquote><NewLine></aside><NewLine></p><NewLine><p>I will try both ways <img alt="":slight_smile:"" class=""emoji"" src=""https://discuss.pytorch.org/images/emoji/apple/slight_smile.png?v=9"" title="":slight_smile:""/></p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/vferrer; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/seungjun; <NewLine> ,"REPLY_DATE 1: September 17, 2020, 11:21am; <NewLine> REPLY_DATE 2: September 17, 2020, 11:46am; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: ; <NewLine> 
66641,Network inference on GPU under Android,2020-01-14T14:05:24.005Z,1,228,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Does PyTorch support such type of inference?</p><NewLine></div>",https://discuss.pytorch.org/u/Chame_call,(chame_call),Chame_call,"January 14, 2020,  5:34pm",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>This is currently not supported, but we are actively looking into supporting inference on GPU on mobile devices.<br/><NewLine>Stay tuned for future releases!</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>Any updates on this?</p><NewLine></div>; <NewLine> REPLY 3: <div class=""post"" itemprop=""articleBody""><NewLine><p>I recently read about ONNX runtime and it might be an alternative.</p><NewLine><p>PyTorch could export models to ONNX format and run the model with ONNX runtime.<br/><NewLine><a class=""onebox"" href=""https://pytorch.org/docs/stable/onnx.html"" rel=""nofollow noopener"" target=""_blank"">https://pytorch.org/docs/stable/onnx.html</a></p><NewLine><p>According to the <a href=""https://github.com/microsoft/onnxruntime/blob/master/docs/execution_providers/NNAPI-ExecutionProvider.md"" rel=""nofollow noopener"">onnxruntime</a>, NNAPI is supported including CPU and GPU inference.</p><NewLine><p>I didn’t try it but looks like it is the only Android gpu-enabled accelerator for now.</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/supriyar; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/Samuel_Menaker; <NewLine> REPLIER 3: https://discuss.pytorch.org/u/seungjun; <NewLine> ,"REPLY_DATE 1: January 24, 2020,  9:55pm; <NewLine> REPLY_DATE 2: September 15, 2020,  6:18pm; <NewLine> REPLY_DATE 3: September 17, 2020,  7:48am; <NewLine> ",REPLY 1 LIKES: 1 Like; <NewLine> REPLY 2 LIKES: 1 Like; <NewLine> REPLY 3 LIKES: ; <NewLine> 
96579,Android : Pytorch,2020-09-17T05:59:21.634Z,0,36,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Can someone suggest how to use android PyTorch for 1 channel images?</p><NewLine></div>",https://discuss.pytorch.org/u/NAVEEN_PALURU,(Naveen Paluru),NAVEEN_PALURU,"September 17, 2020,  5:59am",,,,,
96324,"How to indexing IValue in java? (my case : tuple of [1,496,640,2])",2020-09-15T07:46:02.417Z,0,21,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi, I have java.torch.Size([1, 496, 640, 2]) &lt;- outputs</p><NewLine><p><code>IValue[] outputs = model.forward(inputs).toTuple()</code></p><NewLine><p>which is IValue</p><NewLine><p>I want to get [1,:,:,1] and [1,:,:,2] by java command…<br/><NewLine>how can I get this? also…what is the correspondence of the np.array in java?<br/><NewLine>I want to get [1,:,:,1] and [1,:,:,2]  as float.array in java.</p><NewLine><p>why pytorch has very few examples??</p><NewLine></div>",https://discuss.pytorch.org/u/SungmanHong,(Sungman Hong),SungmanHong,"September 15, 2020,  7:50am",,,,,
96322,"Expected IValue type 10, actual type 2",2020-09-15T07:36:05.522Z,0,18,"<div class=""post"" itemprop=""articleBody""><NewLine><p>I have error in java.<br/><NewLine><code>Expected IValue type 10, actual type 2</code></p><NewLine><p>actually… what is the type10 and type2?<br/><NewLine>how can i find any doc?</p><NewLine></div>",https://discuss.pytorch.org/u/SungmanHong,(Sungman Hong),SungmanHong,"September 15, 2020,  7:36am",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>I found type2 is tuple and 10 is double list, but don’t know any doc is exists</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/SungmanHong; <NewLine> ,"REPLY_DATE 1: September 15, 2020,  7:39am; <NewLine> ",REPLY 1 LIKES: ; <NewLine> 
96174,Tuple outputs = model.forward(inputs).toTuple();,2020-09-14T02:59:31.824Z,0,31,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi I have Tuple output in pytorch mobile.</p><NewLine><p>But the type of output has no type of tuple</p><NewLine><p>in the code,</p><NewLine><p>x outputs = model.forward(inputs).toTuple();</p><NewLine><p>what should I type in the x?</p><NewLine></div>",https://discuss.pytorch.org/u/SungmanHong,(Sungman Hong),SungmanHong,"September 14, 2020,  2:59am",,,,,
96092,Perform reshape of tensor in JAVA.pytorch,2020-09-13T07:12:36.788Z,0,29,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi, I have python code<br/><NewLine>and converting the code to android, and I have question of some commands of pythons.</p><NewLine><p>First, my python code is <code>unsqueeze(x.0)</code> where x is pytorch.tensor.<br/><NewLine>e.g) when unsqueeze(x,0) is performed, shape of x will be [3,2,4] to [1,3,2,4] &lt;-- add just 1 dimension</p><NewLine><ol><NewLine><li><NewLine><p>in JAVA, can I do it how…?? (java command is so unusual for me… please help)</p><NewLine></li><NewLine><li><NewLine><p>Also, I want to reorder the pytorch.tensor in JAVA<br/><NewLine>e.g) [3,2,4] to [2,4,3]<br/><NewLine>in python it is performed by <code>torch.from_numpy(x).permute(2, 0, 1)</code><br/><NewLine>In JAVA, how to can I do it? (JAVA command is fine to me… I found some java function code or package that support reshape in python where the input is array… in pytorch.java… what is the type of tensor? it is array?)</p><NewLine></li><NewLine></ol><NewLine><p>thank you.</p><NewLine></div>",https://discuss.pytorch.org/u/SungmanHong,(Sungman Hong),SungmanHong,"September 13, 2020,  7:13am",,,,,
