id,title,created_at,reply_count,views,description,creator_link,creator_name,creator_alias,post_date,post_likes,replies,repliers_links,reply_dates,reply_likes
57360,About the quantization category,2019-10-02T21:54:28.644Z,0,318,"<div class=""post"" itemprop=""articleBody""><NewLine><p>This category is for questions, discussion and issues related to PyTorch’s quantization feature.</p><NewLine><p>For more information, see: <a href=""https://github.com/pytorch/pytorch/issues/18318"" rel=""nofollow noopener"">https://github.com/pytorch/pytorch/issues/18318</a></p><NewLine></div>",https://discuss.pytorch.org/u/smth,,smth,"October 2, 2019,  9:55pm",,,,,
96590,Is there a way to quantize conv_transpose2d layer?,2020-09-17T07:32:45.932Z,4,97,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Following is my error message:</p><NewLine><blockquote><NewLine><p>Traceback (most recent call last):<br/><NewLine>File “pose_estimation/test_on_single_image_quant_ver.py”, line 119, in <br/><NewLine>main()<br/><NewLine>File “pose_estimation/test_on_single_image_quant_ver.py”, line 92, in main<br/><NewLine>output = quantized_model(input)<br/><NewLine>File “/usr/lib/python3.8/site-packages/torch/nn/modules/module.py”, line 722, in _call_impl<br/><NewLine>result = self.forward(*input, **kwargs)<br/><NewLine>RuntimeError: The following operation failed in the TorchScript interpreter.<br/><NewLine>Traceback of TorchScript, serialized code (most recent call last):<br/><NewLine>File “code/<strong>torch</strong>/models/pose_mobilenet.py”, line 17, in forward<br/><NewLine>x0 = (self.quant).forward(x, )<br/><NewLine>x1 = (self.features).forward(x0, )<br/><NewLine>x2 = (self.conv_transpose_layers).forward(x1, )<br/><NewLine>~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ &lt;— HERE<br/><NewLine>x3 = (self.final_layer).forward(x2, )<br/><NewLine>return (self.dequant).forward(x3, )<br/><NewLine>File “code/<strong>torch</strong>/torch/nn/modules/container/___torch_mangle_4.py”, line 26, in forward<br/><NewLine>_8 = getattr(self, “8”)<br/><NewLine>input0 = (_0).forward(input, None, )<br/><NewLine>input1 = (_1).forward(input0, )<br/><NewLine>~~~~~~~~~~~ &lt;— HERE<br/><NewLine>input2 = (_2).forward(input1, )<br/><NewLine>input3 = (_3).forward(input2, None, )<br/><NewLine>File “code/<strong>torch</strong>/torch/nn/modules/container/___torch_mangle_4.py”, line 25, in forward<br/><NewLine>_7 = getattr(self, “7”)<br/><NewLine>_8 = getattr(self, “8”)<br/><NewLine>input0 = (_0).forward(input, None, )<br/><NewLine>~~~~~~~~~~~ &lt;— HERE<br/><NewLine>input1 = (_1).forward(input0, )<br/><NewLine>input2 = (_2).forward(input1, )<br/><NewLine>File “code/<strong>torch</strong>/torch/nn/modules/conv.py”, line 22, in forward<br/><NewLine>output_size: Optional[List[int]]=None) -&gt; Tensor:<br/><NewLine>output_padding = (self)._output_padding(input, output_size, [2, 2], [1, 1], [4, 4], )<br/><NewLine>_0 = torch.conv_transpose2d(input, self.weight, self.bias, [2, 2], [1, 1], output_padding, 1, [1, 1])<br/><NewLine>~~~~~~~~~~~~~~~~~~~~~~ &lt;— HERE<br/><NewLine>return _0<br/><NewLine>def _output_padding(self: <strong>torch</strong>.torch.nn.modules.conv.ConvTranspose2d,</p><NewLine><p>Traceback of TorchScript, original code (most recent call last):<br/><NewLine>File “/usr/lib/python3.8/site-packages/torch/nn/modules/container.py”, line 117, in forward<br/><NewLine>def forward(self, input):<br/><NewLine>for module in self:<br/><NewLine>input = module(input)<br/><NewLine>~~~~~~ &lt;— HERE<br/><NewLine>return input<br/><NewLine>File “/usr/lib/python3.8/site-packages/torch/nn/modules/container.py”, line 117, in forward<br/><NewLine>def forward(self, input):<br/><NewLine>for module in self:<br/><NewLine>input = module(input)<br/><NewLine>~~~~~~ &lt;— HERE<br/><NewLine>return input<br/><NewLine>File “/usr/lib/python3.8/site-packages/torch/nn/modules/conv.py”, line 905, in forward<br/><NewLine>output_padding = self._output_padding(input, output_size, self.stride, self.padding, self.kernel_size)</p><NewLine><pre><code>    return F.conv_transpose2d(<NewLine>           ~~~~~~~~~~~~~~~~~~ &lt;--- HERE<NewLine>        input, self.weight, self.bias, self.stride, self.padding,<NewLine>        output_padding, self.groups, self.dilation)<NewLine></code></pre><NewLine><p>RuntimeError: Could not run ‘aten::slow_conv_transpose2d’ with arguments from the ‘QuantizedCPU’ backend. ‘aten::slow_conv_transpose2d’ is only available for these backends: [CPU, CUDA, Autograd, Profiler, Tracer].</p><NewLine></blockquote><NewLine><p>I’m new to this, I try to find something like torch.nn.quantized.conv_transpose2d but I can’t find it or is there any other ways?<br/><NewLine>Thanks in advance</p><NewLine></div>",https://discuss.pytorch.org/u/ruka,,ruka,"September 17, 2020,  8:24am",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>hi <a class=""mention"" href=""/u/ruka"">@ruka</a>, we landed support for quantized conv transpose recently (<a href=""https://github.com/pytorch/pytorch/pull/40371"" rel=""nofollow noopener"">https://github.com/pytorch/pytorch/pull/40371</a> and the preceding PRs).  It is not in v1.6, but you can try it out in the nightly!</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>Thank you so much! I will try it. <img alt="":smiley:"" class=""emoji"" src=""https://discuss.pytorch.org/images/emoji/apple/smiley.png?v=9"" title="":smiley:""/> <a class=""mention"" href=""/u/vasiliy_kuznetsov"">@Vasiliy_Kuznetsov</a></p><NewLine></div>; <NewLine> REPLY 3: <div class=""post"" itemprop=""articleBody""><NewLine><p>Hi, <a class=""mention"" href=""/u/vasiliy_kuznetsov"">@Vasiliy_Kuznetsov</a>   I updated my pytorch to nightly(Version: 1.7.0a0+60665ac).<br/><NewLine>But when I try to convert my model, I get error:</p><NewLine><blockquote><NewLine><p>Traceback (most recent call last):<br/><NewLine>File “pose_estimation/quantized.py”, line 67, in <br/><NewLine>main()<br/><NewLine>File “pose_estimation/quantized.py”, line 61, in main<br/><NewLine>torch.quantization.convert(model, inplace = True)<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/quantization/quantize.py”, line 414, in convert<br/><NewLine>_convert(module, mapping, inplace=True)<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/quantization/quantize.py”, line 458, in _convert<br/><NewLine>_convert(mod, mapping, inplace=True)<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/quantization/quantize.py”, line 459, in _convert<br/><NewLine>reassign[name] = swap_module(mod, mapping)<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/quantization/quantize.py”, line 485, in swap_module<br/><NewLine>new_mod = mapping[type(mod)].from_float(mod)<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/nn/quantized/modules/conv.py”, line 507, in from_float<br/><NewLine>qconv = cls(mod.in_channels, mod.out_channels, mod.kernel_size,<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/nn/quantized/modules/conv.py”, line 641, in <strong>init</strong><br/><NewLine>super(ConvTranspose2d, self).<strong>init</strong>(<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/nn/quantized/modules/conv.py”, line 476, in <strong>init</strong><br/><NewLine>super(_ConvTransposeNd, self).<strong>init</strong>(<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/nn/quantized/modules/conv.py”, line 53, in <strong>init</strong><br/><NewLine>self.set_weight_bias(qweight, bias_float)<br/><NewLine>File “/home/yjwen/local/lib/python3.8/site-packages/torch/nn/quantized/modules/conv.py”, line 650, in set_weight_bias<br/><NewLine>self._packed_params = torch.ops.quantized.conv_transpose2d_prepack(<br/><NewLine>RuntimeError: FBGEMM doesn’t support transpose packing yet!</p><NewLine></blockquote><NewLine><p>Did I miss anything(maybe some special that I need to do before quantized conv transpose) or this is a bug?<br/><NewLine>Thanks</p><NewLine></div>; <NewLine> REPLY 4: <div class=""post"" itemprop=""articleBody""><NewLine><p>Currently, the ConvTranspose is only supported using the QNNPACK. The FBGEMM version is planned, but there is no specific date specified for it. Meanwhile, you have two options for the eager mode: replace the ConvTranspose: 1) Replace the instances of the ConvTranspose with <code>dequant-&gt;ConvTranspose-&gt;quant</code> construct 2) Set the <code>torch.backends.quantized.engine = 'qnnpack'</code> before running your model. You also might need to set the <code>qconfig = torch.quantization.get_default_qconfig('qnnpack')</code> or <code>qconfig = torch.quantization.get_default_qat_qconfig('qnnpack')</code></p><NewLine></div>; <NewLine> REPLY 5: <div class=""post"" itemprop=""articleBody""><NewLine><p><a class=""mention"" href=""/u/zafar"">@Zafar</a>  Thank you so much for the reply!!  I successfully converted the model by setting <code>quantized.engine = 'qnnpack'</code>  and <code>get_default_qconfig('qnnpack')</code><br/><NewLine>But the quantized model predicts a totally wrong result(my original model works fine)<br/><NewLine>I carefully studied the official tutorial <a class=""inline-onebox-loading"" href=""https://pytorch.org/tutorials/advanced/static_quantization_tutorial.html#model-architecture"" rel=""nofollow noopener"">https://pytorch.org/tutorials/advanced/static_quantization_tutorial.html#model-architecture</a><br/><NewLine>It seems that nothing special needs to be done when using a quantized model, just the usual way</p><NewLine><pre><code class=""lang-auto"">model.eval()<NewLine>with torch.no_grad():<NewLine>    output = model(image)<NewLine></code></pre><NewLine><p>Any hints?</p><NewLine></div>; <NewLine> REPLY 6: <div class=""post"" itemprop=""articleBody""><NewLine><p>Can you elaborate on the wrong result, please – I wonder if it is within the quantization error.</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/Vasiliy_Kuznetsov; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/ruka; <NewLine> REPLIER 3: https://discuss.pytorch.org/u/ruka; <NewLine> REPLIER 4: https://discuss.pytorch.org/u/Zafar; <NewLine> REPLIER 5: https://discuss.pytorch.org/u/ruka; <NewLine> REPLIER 6: https://discuss.pytorch.org/u/Zafar; <NewLine> ,"REPLY_DATE 1: September 18, 2020,  4:19pm; <NewLine> REPLY_DATE 2: September 21, 2020,  1:42am; <NewLine> REPLY_DATE 3: September 25, 2020,  8:25am; <NewLine> REPLY_DATE 4: September 25, 2020,  6:43pm; <NewLine> REPLY_DATE 5: September 27, 2020,  8:54am; <NewLine> REPLY_DATE 6: September 28, 2020,  6:00pm; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: 1 Like; <NewLine> REPLY 3 LIKES: ; <NewLine> REPLY 4 LIKES: ; <NewLine> REPLY 5 LIKES: ; <NewLine> REPLY 6 LIKES: ; <NewLine> 
95589,Is there any way I could get bit value of my weight,2020-09-08T17:50:00.181Z,1,50,"<div class=""post"" itemprop=""articleBody""><NewLine><p>I quantize my model and I want the bit value of all weights in my model. But I don’t how to do it</p><NewLine></div>",https://discuss.pytorch.org/u/sunyoung,(sunyoung),sunyoung,"September 8, 2020,  5:50pm",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>Could you elaborate on what you mean by bit value of the weights?<br/><NewLine>If you would like to access quantized weights you can try &lt;quantized_module&gt;.weight(). This returns a quantized tensor of weights and you can use int_repr() to get the int8_t values of weights.</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>Hi.<br/><NewLine>Based on your advice, when I try to print the weight of the quantized model, I get FP32 weights, scaling, and zero_point, but I can’t get the int weight?</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/supriyar; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/111179; <NewLine> ,"REPLY_DATE 1: September 9, 2020,  7:17pm; <NewLine> REPLY_DATE 2: September 26, 2020,  7:53am; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: ; <NewLine> 
97459,Best practice or suggestion for QAT?,2020-09-25T07:39:51.315Z,1,35,"<div class=""post"" itemprop=""articleBody""><NewLine><p>I am curious about <code>disable_observer</code> and <code>freeze_bn_stats</code> in quantization aware training. I don’t know when should I apply them. I have tried different combinations of two parameters. It seems that has a big impact on accuracy. Is there any best practice for quantization aware training? Like should I disable observer first and when should I disable it, train from scratch or fine-tune a trained model?</p><NewLine></div>",https://discuss.pytorch.org/u/eleflea,(Eleflea),eleflea,"September 25, 2020,  7:39am",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>hi <a class=""mention"" href=""/u/eleflea"">@eleflea</a>, check out <a href=""https://github.com/pytorch/vision/blob/master/references/classification/train_quantization.py"" rel=""nofollow noopener"">https://github.com/pytorch/vision/blob/master/references/classification/train_quantization.py</a> for one example.  One approach which has proven to work well is:</p><NewLine><ul><NewLine><li>start QAT training from a floating point pre-trained model and with observers and fake_quant enabled</li><NewLine><li>after a couple of epochs, freeze the BN stats if your network has any BNs (epoch == 3 in the example)</li><NewLine><li>after a couple of epochs, disable observers (epoch == 4 in the example)</li><NewLine></ul><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>Thanks, I’ll try it.</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/Vasiliy_Kuznetsov; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/eleflea; <NewLine> ,"REPLY_DATE 1: September 25, 2020,  3:45pm; <NewLine> REPLY_DATE 2: September 26, 2020,  1:54am; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: ; <NewLine> 
97177,PyTorch quantization resnet50 model,2020-09-22T22:03:30.509Z,1,48,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi all,<br/><NewLine>I am trying the resnet50 model quantization with PyTorch and I tried these 3 lines of code :<br/><NewLine>the import, model=qn.resnet50(pretrain=true), and model.state_dict()), and why the coefficients being shown are all float values if this is the quarantined version of the model?<br/><NewLine>Noticed this while trying to figure out how to save/load the coefficients for a quantized model, and is there anything special you need to do convert model coefficients between float and int8.</p><NewLine><p>Please let me know. Appreciate any help/suggestions , Thanks!</p><NewLine></div>",https://discuss.pytorch.org/u/samhithaaaa,(samhitha mamindla),samhithaaaa,"September 22, 2020, 10:03pm",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>Can anyone help me with this please?</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>check out <a href=""https://pytorch.org/docs/stable/quantization.html#quantized-torch-tensor-operations"" rel=""nofollow noopener"">https://pytorch.org/docs/stable/quantization.html#quantized-torch-tensor-operations</a>, in partucular the “int_repr” function.  By default, if you print out a quantized tensor you will see the dequantized values that the tensor represents.  To see the raw int8 values, you can use <code>x.int_repr()</code>.</p><NewLine></div>; <NewLine> REPLY 3: <div class=""post"" itemprop=""articleBody""><NewLine><p>Thank you so much for your response,I will check it.Thanks again.</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/samhithaaaa; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/Vasiliy_Kuznetsov; <NewLine> REPLIER 3: https://discuss.pytorch.org/u/samhithaaaa; <NewLine> ,"REPLY_DATE 1: September 23, 2020,  3:20am; <NewLine> REPLY_DATE 2: September 23, 2020,  5:54pm; <NewLine> REPLY_DATE 3: September 24, 2020,  5:16pm; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: ; <NewLine> REPLY 3 LIKES: ; <NewLine> 
97325,How to extract the quantized weight of quantized NN model,2020-09-24T04:29:46.744Z,0,26,"<div class=""post"" itemprop=""articleBody""><NewLine><p>I am using Post Training Quantization and try to extract the quantized weight for inference phase, but I failed.<br/><NewLine>I try to directly use</p><NewLine><p>for weight in quantized_model.state_dict():<br/><NewLine>np.set_printoptions(suppress=True)<br/><NewLine>print(weight, “\n”, quantized_model.state_dict()[weight].detach().cpu().clone().numpy())</p><NewLine><p>get “TypeError: NumPy conversion for QuantizedCPUQInt8Type is not supported”</p><NewLine><p>Could give me any advice for extracting the quantized weight from the quantized model?<br/><NewLine>Thank you very much!!</p><NewLine></div>",https://discuss.pytorch.org/u/111179,(mmmm),111179,"September 24, 2020,  4:29am",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>check out <a href=""https://pytorch.org/docs/stable/quantization.html#quantized-torch-tensor-operations"" rel=""nofollow noopener"">https://pytorch.org/docs/stable/quantization.html#quantized-torch-tensor-operations</a>.  Some options:</p><NewLine><ol><NewLine><li>convert your quantized tensor to floating point with <code>x.dequantize()</code><NewLine></li><NewLine><li>get the raw integer values with <code>x.int_repr()</code>, this should be used together with <code>x.q_scale()</code> and <code>x.q_zero_point</code>.</li><NewLine></ol><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/Vasiliy_Kuznetsov; <NewLine> ,"REPLY_DATE 1: September 24, 2020,  3:53pm; <NewLine> ",REPLY 1 LIKES: 1 Like; <NewLine> 
97368,How pytorch simulates bias during quantization aware training,2020-09-24T12:57:47.119Z,0,24,"<div class=""post"" itemprop=""articleBody""><NewLine><p>It seems that pytorch qat doesn’t simulate bias quantization error during qat. And I found that <code>qat.Conv2d</code> only fake-quantize <code>weight</code> and <code>activation</code>. So pytorch’s quantization strategy does not quantize the <code>bias</code>, right?</p><NewLine></div>",https://discuss.pytorch.org/u/Jonson,(叶俊贤),Jonson,"September 24, 2020, 12:57pm",,,,,
97016,Qnnpack vs. fbgemm,2020-09-21T15:07:04.265Z,3,84,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi!<br/><NewLine>I am trying to implement quantization in my model.<br/><NewLine>In the case of Post Static Quantization some interesting detail came across:</p><NewLine><pre><code class=""lang-auto"">quantized_model.qconfig = torch.quantization.get_default_qconfig('qnnpack')<NewLine># torch.backends.quantized.engine = 'qnnpack' # gives error<NewLine></code></pre><NewLine><p>works nearly perfect according to performance numbers. However, <code>qnnpack</code> is not available as an engine on my machine.</p><NewLine><p>Trying to use</p><NewLine><pre><code class=""lang-auto"">quantized_model.qconfig = torch.quantization.get_default_qconfig('fbgemm')<NewLine></code></pre><NewLine><p>led to much worser performance numbers.</p><NewLine><p>Also, in my opinion this should not work, but does perform very good:</p><NewLine><pre><code class=""lang-auto"">quantized_model.qconfig = torch.quantization.get_default_qconfig('qnnpack') <NewLine>torch.backends.quantized.engine = 'fbgemm'<NewLine></code></pre><NewLine><p>Is this a bug? Shouldn’t <code>fbgemm</code> outperform <code>qnnpack</code> an a x86 system?</p><NewLine></div>",https://discuss.pytorch.org/u/pintonos,(Pintonos),pintonos,"September 21, 2020,  3:07pm",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><aside class=""quote no-group"" data-post=""1"" data-topic=""97016"" data-username=""pintonos""><NewLine><div class=""title""><NewLine><div class=""quote-controls""></div><NewLine><img alt="""" class=""avatar"" height=""20"" src=""https://discuss.pytorch.org/user_avatar/discuss.pytorch.org/pintonos/40/28210_2.png"" width=""20""/> pintonos:</div><NewLine><blockquote><NewLine><p>Shouldn’t <code>fbgemm</code> outperform <code>qnnpack</code> an a x86 system?</p><NewLine></blockquote><NewLine></aside><NewLine><p>Yes, that would be expected.  Does your system have AVX and AVX2 capabilities?  Those are needed for the fast paths of the fbgemm kernels.</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><aside class=""quote no-group"" data-post=""1"" data-topic=""97016"" data-username=""pintonos""><NewLine><div class=""title""><NewLine><div class=""quote-controls""></div><NewLine><img alt="""" class=""avatar"" height=""20"" src=""https://discuss.pytorch.org/user_avatar/discuss.pytorch.org/pintonos/40/28210_2.png"" width=""20""/> pintonos:</div><NewLine><blockquote><NewLine><p>Is this a bug? Shouldn’t <code>fbgemm</code> outperform <code>qnnpack</code> an a x86 system?</p><NewLine></blockquote><NewLine></aside><NewLine><p>Yes, sounds like it could be a bug.  Would you be able to share the per-op profiling results for the model you are seeing this for using <a href=""https://pytorch.org/docs/stable/autograd.html#profiler"" rel=""nofollow noopener"">https://pytorch.org/docs/stable/autograd.html#profiler</a> on both fbgemm and qnnpack on your machine?  Qnnpack only has fast kernels on ARM, on x86 it is taking the slow fallback path.</p><NewLine></div>; <NewLine> REPLY 3: <div class=""post"" itemprop=""articleBody""><NewLine><p>Profile for <code>fbgemm</code> for evaluation:</p><NewLine><pre><code class=""lang-auto"">------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  <NewLine>Name                                  Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     Number of Calls  <NewLine>------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  <NewLine>mul                                   64.88%           3.584s           65.20%           3.602s           13.341ms         270              <NewLine>sum                                   13.79%           761.666ms        15.01%           829.509ms        1.097ms          756              <NewLine>quantized::linear                     12.68%           700.596ms        12.68%           700.596ms        19.461ms         36               <NewLine>_cat                                  3.06%            168.962ms        3.14%            173.683ms        6.433ms          27               <NewLine>relu                                  1.32%            73.125ms         1.34%            73.805ms         2.734ms          27               <NewLine>fill_                                 1.17%            64.873ms         1.17%            64.876ms         82.855us         783              <NewLine>index_select                          0.73%            40.152ms         1.22%            67.359ms         95.953us         702              <NewLine>copy_                                 0.42%            23.189ms         0.42%            23.197ms         44.438us         522              <NewLine>empty                                 0.39%            21.815ms         0.39%            21.815ms         9.696us          2250             <NewLine>quantize_per_tensor                   0.38%            20.759ms         0.38%            20.771ms         2.308ms          9                <NewLine>cat                                   0.16%            9.051ms          3.31%            182.734ms        6.768ms          27               <NewLine>embedding                             0.15%            8.441ms          2.80%            154.721ms        110.200us        1404  <NewLine>...<NewLine></code></pre><NewLine><p>Metrics:</p><NewLine><pre><code class=""lang-auto"">Size (MB): 3.466263<NewLine>Loss: 1.093 (not good)<NewLine>Acc: 0.622<NewLine>Elapsed time (seconds): 7.084<NewLine>Avg execution time per forward(ms): 0.00363<NewLine></code></pre><NewLine><p>Profile for <code>qnnpack</code> for evaluation:</p><NewLine><pre><code class=""lang-auto"">------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  <NewLine>Name                                  Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     Number of Calls  <NewLine>------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  <NewLine>mul                                   66.18%           3.379s           66.49%           3.395s           12.573ms         270              <NewLine>sum                                   12.98%           662.933ms        14.21%           725.287ms        959.374us        756              <NewLine>quantized::linear                     12.45%           635.799ms        12.45%           635.799ms        17.661ms         36               <NewLine>_cat                                  3.14%            160.059ms        3.23%            164.724ms        6.101ms          27               <NewLine>relu                                  1.33%            67.692ms         1.34%            68.278ms         2.529ms          27               <NewLine>fill_                                 1.17%            59.914ms         1.17%            59.917ms         76.522us         783              <NewLine>index_select                          0.68%            34.661ms         1.11%            56.808ms         80.923us         702              <NewLine>empty                                 0.38%            19.191ms         0.38%            19.191ms         8.529us          2250             <NewLine>quantize_per_tensor                   0.37%            18.920ms         0.37%            18.930ms         2.103ms          9                <NewLine>copy_                                 0.35%            17.947ms         0.35%            17.954ms         34.394us         522              <NewLine>embedding                             0.14%            7.034ms          2.52%            128.492ms        91.519us         1404             <NewLine>...<NewLine></code></pre><NewLine><p>Metrics:</p><NewLine><pre><code class=""lang-auto"">Size (MB): 3.443591<NewLine>Loss: 0.580 (very good)<NewLine>Acc: 0.720<NewLine>Elapsed time (seconds): 6.978<NewLine>Avg execution time per forward(ms): 0.00427<NewLine></code></pre><NewLine></div>; <NewLine> REPLY 4: <div class=""post"" itemprop=""articleBody""><NewLine><p>hmm, one hypothesis that would fit this data is that fbgemm is not enabled, and both fbgemm and qnnpack are taking the fallback paths.</p><NewLine><p>cc <a class=""mention"" href=""/u/dskhudia"">@dskhudia</a> , any tips?</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/Vasiliy_Kuznetsov; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/Vasiliy_Kuznetsov; <NewLine> REPLIER 3: https://discuss.pytorch.org/u/pintonos; <NewLine> REPLIER 4: https://discuss.pytorch.org/u/Vasiliy_Kuznetsov; <NewLine> ,"REPLY_DATE 1: September 22, 2020,  3:21pm; <NewLine> REPLY_DATE 2: September 23, 2020,  3:23am; <NewLine> REPLY_DATE 3: September 23, 2020,  6:42am; <NewLine> REPLY_DATE 4: September 23, 2020,  4:00pm; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: ; <NewLine> REPLY 3 LIKES: ; <NewLine> REPLY 4 LIKES: ; <NewLine> 
97170,PyTorch Quantization,2020-09-22T20:58:17.189Z,0,25,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi all,<br/><NewLine>I am trying the resnet50 model quantization with PyTorch and I tried these 3 lines of code :<br/><NewLine>the import, model=qn.resnet50(pretrain=true), and model.state_dict()), and why the coefficients being shown are all float values if this is the quarantined version of the model?<br/><NewLine>Noticed this while trying to figure out how to save/load the coefficients for a quantized model, and is there anything special you need to do convert model coefficients between float and int8.</p><NewLine><p>Please let me know. Appreciate any help/suggestions , Thanks!</p><NewLine></div>",https://discuss.pytorch.org/u/samhithaaaa,(samhitha mamindla),samhithaaaa,"September 22, 2020,  8:58pm",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>You need to set quantized=True when you load the model. i.e do model =qn.resnet(pretrained=True, quantized=True)</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/raghuramank100; <NewLine> ,"REPLY_DATE 1: September 28, 2020,  5:37pm; <NewLine> ",REPLY 1 LIKES: ; <NewLine> 
96488,How does pytorch determine which backend a function supports,2020-09-16T11:31:08.960Z,1,50,"<div class=""post"" itemprop=""articleBody""><NewLine><p>Hi,</p><NewLine><p>I wrote a c++ function that receives a quantized tensor and outputs a fp32 tensor. everything compiled without errors and the python binding also works but when i try to use the function i get the following error:</p><NewLine><p><code>RuntimeError: Could not run 'quantized::linear_my' with arguments from the 'QuantizedCPU' backend. 'quantized::linear_my' is only available for these backends: [].</code></p><NewLine><p>so my question is how does pytorch determine which backends does my function support?<br/><NewLine>how can i fix this state where my function doesnt support any backend?</p><NewLine><p>Thanks,<br/><NewLine>Ofir</p><NewLine></div>",https://discuss.pytorch.org/u/Ofir_Zafrir,,Ofir_Zafrir,"September 16, 2020, 11:31am",,"REPLY 1: <div class=""post"" itemprop=""articleBody""><NewLine><p>Are you using <a href=""https://pytorch.org/tutorials/advanced/torch_script_custom_classes.html"" rel=""nofollow noopener"">TorchBind</a> rather than PyBind11?</p><NewLine></div>; <NewLine> REPLY 2: <div class=""post"" itemprop=""articleBody""><NewLine><p>I am not sure, I used the same method that was used in the torch library, I modified code inside the library.<br/><NewLine>I resolved the problem in the end, it was a compilation problem, cleaning the project resolved it.</p><NewLine></div>; <NewLine> ",REPLIER 1: https://discuss.pytorch.org/u/tom; <NewLine> REPLIER 2: https://discuss.pytorch.org/u/Ofir_Zafrir; <NewLine> ,"REPLY_DATE 1: September 16, 2020,  1:00pm; <NewLine> REPLY_DATE 2: September 21, 2020, 10:43pm; <NewLine> ",REPLY 1 LIKES: ; <NewLine> REPLY 2 LIKES: ; <NewLine> 
